"outcome","input","quant"
55.270100007931,1,0.05
65.7079907114012,1,0.25
70.4797187355053,1,0.5
74.5138153787099,1,0.75
79.0910408400447,1,0.95
58.7527277019443,2,0.05
66.4195375265067,2,0.25
70.5868757316751,2,0.5
74.4133121260451,2,0.75
78.8669672640875,2,0.95
56.3241074718784,3,0.05
64.0461628257617,3,0.25
68.0900652000002,3,0.5
72.2832594044147,3,0.75
77.9220679615907,3,0.95
59.0439910330469,4,0.05
66.4886879500175,4,0.25
70.4888045426195,4,0.5
74.2605732314353,4,0.75
79.3978789979248,4,0.95
59.076425795493,5,0.05
66.8290905460383,5,0.25
70.9834772757379,5,0.5
74.777291579501,5,0.75
79.6764427053025,5,0.95
57.940271563318,6,0.05
66.0449379606746,6,0.25
70.2332179820916,6,0.5
73.7709464174066,6,0.75
78.2553700441406,6,0.95
57.9176060596872,7,0.05
65.6150527589769,7,0.25
69.3189605110541,7,0.5
72.9858495280013,7,0.75
77.2991493934884,7,0.95
