"outcome","input","quant"
0.170907051222896,1,0.05
2.37995222630354,1,0.25
4.61115941970042,1,0.5
7.17917119998189,1,0.75
10.9739776017905,1,0.95
2.04304304863594,2,0.05
4.01178391606071,2,0.25
5.91089133338452,2,0.5
8.16649275789746,2,0.75
11.2009809087695,2,0.95
2.15999373340796,3,0.05
4.10854975328943,3,0.25
5.96891932592216,3,0.5
8.16667495650215,3,0.75
11.0638189064018,3,0.95
2.45802741370658,4,0.05
4.46714265917046,4,0.25
6.37235694576037,4,0.5
8.58835840840618,4,0.75
11.756810865329,4,0.95
2.20040301978953,5,0.05
4.42911611698807,5,0.25
6.27322101662643,5,0.5
8.53774064769702,5,0.75
11.5098554002172,5,0.95
2.27705988278058,6,0.05
4.3157515537793,6,0.25
6.17214557021641,6,0.5
8.36392580055401,6,0.75
11.5489853658702,6,0.95
2.31491899794252,7,0.05
4.24164056498505,7,0.25
6.1346688913734,7,0.5
8.31687461421597,7,0.75
11.2940278507585,7,0.95
