"outcome","input","quant"
0.06469654432996,1,0.05
0.0738616164927151,1,0.25
0.0796036681848808,1,0.5
0.0844278057622275,1,0.75
0.0927982215710311,1,0.95
0.0555473324420242,2,0.05
0.069294890791069,2,0.25
0.106692473802561,2,0.5
0.126782513108346,2,0.75
0.155942087320878,2,0.95
0.0919430777216378,3,0.05
0.101733141130867,3,0.25
0.108788579430359,3,0.5
0.118315609938837,3,0.75
0.129113553469504,3,0.95
0.0881010415320563,4,0.05
0.100930469636861,4,0.25
0.121744573550902,4,0.5
0.138205483891587,4,0.75
0.148316516062054,4,0.95
0.0900957021388851,5,0.05
0.107754873848779,5,0.25
0.11985781661155,5,0.5
0.130250587654054,5,0.75
0.147677005908462,5,0.95
0.0672520387722528,6,0.05
0.0753293379569806,6,0.25
0.0879972415141959,6,0.5
0.0991540925825687,6,0.75
0.109013340791865,6,0.95
0.0658929405552328,7,0.05
0.0776703943106827,7,0.25
0.0896064083996183,7,0.5
0.106401593371842,7,0.75
0.118823411001242,7,0.95
