"outcome","input","quant"
78.7109952714495,0.35,0.05
82.9090614506739,0.35,0.25
84.8692639518735,0.35,0.5
86.529146423763,0.35,0.75
89.0046665859159,0.35,0.95
78.7109952714495,0.45,0.05
82.9090614506739,0.45,0.25
84.8692639518735,0.45,0.5
86.529146423763,0.45,0.75
89.0046665859159,0.45,0.95
78.7109952714495,0.55,0.05
82.9090614506739,0.55,0.25
84.8692639518735,0.55,0.5
86.529146423763,0.55,0.75
89.0046665859159,0.55,0.95
78.7109952714495,0.65,0.05
82.9090614506739,0.65,0.25
84.8692639518735,0.65,0.5
86.529146423763,0.65,0.75
89.0046665859159,0.65,0.95
