"outcome","input","quant"
14.5729779875113,0.35,0.05
17.8405971358492,0.35,0.25
20.3557165498612,0.35,0.5
28.4741834586906,0.35,0.75
41.9758868121209,0.35,0.95
14.5729779875113,0.45,0.05
17.8405971358492,0.45,0.25
20.3557165498612,0.45,0.5
28.4741834586906,0.45,0.75
41.9758868121209,0.45,0.95
14.5729779875113,0.55,0.05
17.8405971358492,0.55,0.25
20.3557165498612,0.55,0.5
28.4741834586906,0.55,0.75
41.9758868121209,0.55,0.95
14.5729779875113,0.65,0.05
17.8405971358492,0.65,0.25
20.3557165498612,0.65,0.5
28.4741834586906,0.65,0.75
41.9758868121209,0.65,0.95
