"outcome","input","quant"
58.7871928282341,1,0.05
67.685610195007,1,0.25
72.3035566042247,1,0.5
76.152973772608,1,0.75
80.6003885737308,1,0.95
56.0347026330286,2,0.05
63.8660424977515,2,0.25
67.360366137677,2,0.5
70.1141451654945,2,0.75
73.3256605053549,2,0.95
55.9393373999972,3,0.05
63.5606930529178,3,0.25
66.9692005469491,3,0.5
69.5898850492584,3,0.75
72.6317379677924,3,0.95
59.3388569565645,4,0.05
68.0928902759754,4,0.25
72.3603977430969,4,0.5
75.6269060907004,4,0.75
79.5373256855705,4,0.95
57.9047795307648,5,0.05
65.2589748234886,5,0.25
68.572988152459,5,0.5
71.2527036407701,5,0.75
74.2523210260479,5,0.95
56.3919581311727,6,0.05
64.1821668582567,6,0.25
67.7684351269258,6,0.5
70.6082144008026,6,0.75
73.5313111713598,6,0.95
59.0468635239797,7,0.05
67.3223492319545,7,0.25
71.6434445063827,7,0.5
75.0991186044813,7,0.75
78.8414719387742,7,0.95
58.1334902986935,8,0.05
66.2025462377992,8,0.25
69.5844213992599,8,0.5
72.1736776460006,8,0.75
74.8337097007999,8,0.95
58.0566612843862,9,0.05
65.2373377916646,9,0.25
68.5421629698631,9,0.5
71.0660419549084,9,0.75
74.2161616326542,9,0.95
59.540519045156,10,0.05
68.3380077541137,10,0.25
72.4688172623908,10,0.5
75.5949275563204,10,0.75
79.2369017797062,10,0.95
57.5025386553087,11,0.05
65.0594604851143,11,0.25
68.5667972105643,11,0.5
71.310338037548,11,0.75
74.1747402923702,11,0.95
55.5248074480534,12,0.05
63.0290922848122,12,0.25
66.5983753326413,12,0.5
69.411157864904,12,0.75
72.7458579365171,12,0.95
