"outcome","input","quant"
0.47726373673617,1,0.05
0.535331642970215,1,0.25
0.559537379018705,1,0.5
0.587406326101357,1,0.75
0.641109826869369,1,0.95
0.483481976584094,2,0.05
0.534560077146035,2,0.25
0.550496511848556,2,0.5
0.576176813643052,2,0.75
0.643525332917698,2,0.95
0.482123463453254,3,0.05
0.532706921080989,3,0.25
0.551474686682831,3,0.5
0.578327546448894,3,0.75
0.637848213046075,3,0.95
0.487791450527453,4,0.05
0.539809442631084,4,0.25
0.558371415197011,4,0.5
0.581176052268616,4,0.75
0.644060980329316,4,0.95
0.484162947262224,5,0.05
0.537540409926157,5,0.25
0.557098778002537,5,0.5
0.580051916105112,5,0.75
0.641977921551946,5,0.95
0.485604912237971,6,0.05
0.535805741988979,6,0.25
0.55424169159711,6,0.5
0.579442845022692,6,0.75
0.64004413144874,6,0.95
0.485604912237971,7,0.05
0.535805741988979,7,0.25
0.55424169159711,7,0.5
0.579442845022692,7,0.75
0.64004413144874,7,0.95
0.485604912237971,8,0.05
0.535805741988979,8,0.25
0.55424169159711,8,0.5
0.579442845022692,8,0.75
0.64004413144874,8,0.95
0.485604912237971,9,0.05
0.535805741988979,9,0.25
0.55424169159711,9,0.5
0.579442845022692,9,0.75
0.64004413144874,9,0.95
0.485604912237971,10,0.05
0.535805741988979,10,0.25
0.55424169159711,10,0.5
0.579442845022692,10,0.75
0.64004413144874,10,0.95
0.485604912237971,11,0.05
0.535805741988979,11,0.25
0.55424169159711,11,0.5
0.579442845022692,11,0.75
0.64004413144874,11,0.95
0.485604912237971,12,0.05
0.535805741988979,12,0.25
0.55424169159711,12,0.5
0.579442845022692,12,0.75
0.64004413144874,12,0.95
