"outcome","input","quant"
0.476930694425503,1,0.05
2.31396500952735,1,0.25
4.5081005901828,1,0.5
11.1101123674903,1,0.75
13.5940354670063,1,0.95
5.1132370400611,2,0.05
12.2310797143009,2,0.25
15.4086064931765,2,0.5
17.3038371025337,2,0.75
19.6793696537762,2,0.95
6.72749657127848,3,0.05
12.0637811651999,3,0.25
18.2437609022199,3,0.5
20.2056692421439,3,0.75
22.659127549518,3,0.95
16.5147227182032,5,0.05
17.9303040295311,5,0.25
19.1310523634387,5,0.5
20.4190573825465,5,0.75
24.6846470548357,5,0.95
17.6774706390114,6,0.05
19.4833686263315,6,0.25
20.9325736376252,6,0.5
22.7768792129644,6,0.75
25.6247145116041,6,0.95
10.9480203765109,7,0.05
17.5655862260243,7,0.25
19.9361508904052,7,0.5
21.5491909083061,7,0.75
24.212116250682,7,0.95
10.6666572417731,8,0.05
15.1408948937,8,0.25
18.5515204202787,8,0.5
19.8996331336834,8,0.75
21.2305620281706,8,0.95
7.70845753834972,9,0.05
15.5296360952011,9,0.25
18.7474769033825,9,0.5
20.0208540795345,9,0.75
25.2903470363695,9,0.95
0.749140542667844,11,0.05
4.74768272842936,11,0.25
18.3304013381484,11,0.5
20.4163730872832,11,0.75
21.8282535743551,11,0.95
8.24504738746642,12,0.05
15.7048629973969,12,0.25
18.8097996827569,12,0.5
20.5979723799742,12,0.75
24.6963440141134,12,0.95
4.21958661687543,13,0.05
9.41378863992454,13,0.25
17.3476384388331,13,0.5
19.9295718377583,13,0.75
22.222814594189,13,0.95
14.7927149210924,14,0.05
19.4321842369365,14,0.25
21.3064901777663,14,0.5
22.8223485744647,14,0.75
24.8575274068671,14,0.95
13.0048170581971,15,0.05
17.984964419903,15,0.25
21.4939428260234,15,0.5
23.1649203132799,15,0.75
26.2710005199289,15,0.95
5.48479719786042,16,0.05
11.4424252251283,16,0.25
16.5104126449391,16,0.5
18.6733105065905,16,0.75
21.8838255881942,16,0.95
14.1696501509348,17,0.05
18.068971286553,17,0.25
19.8801325712134,17,0.5
21.1803329307141,17,0.75
23.0731917534646,17,0.95
14.1463599232906,18,0.05
18.898959002552,18,0.25
22.0017714528069,18,0.5
23.4165589229237,18,0.75
25.6275099246318,18,0.95
16.4906597576451,19,0.05
18.3042223978781,19,0.25
19.4683453638306,19,0.5
20.464409162947,19,0.75
22.4315117541541,19,0.95
