"outcome","input","quant"
0.0720770003275219,1,0.05
0.093057371258185,1,0.25
0.107449891199023,1,0.5
0.122888830638788,1,0.75
0.1434728454355,1,0.95
0.0720770003275219,2,0.05
0.093057371258185,2,0.25
0.107449891199023,2,0.5
0.122888830638788,2,0.75
0.1434728454355,2,0.95
0.0719376172374033,3,0.05
0.0928373541436166,3,0.25
0.107226822800846,3,0.5
0.122664176466166,3,0.75
0.143216705723824,3,0.95
0.070917881149355,5,0.05
0.0915505835024169,5,0.25
0.105870103729848,5,0.5
0.120307719237173,5,0.75
0.141340448732121,5,0.95
0.0728358318451739,6,0.05
0.0926896151627602,6,0.25
0.106593177001432,6,0.5
0.121019142751996,6,0.75
0.141442699974212,6,0.95
0.0728358318451739,7,0.05
0.0926896151627602,7,0.25
0.106360617100885,7,0.5
0.120703981933634,7,0.75
0.141442699974212,7,0.95
0.0728860457438877,8,0.05
0.0926896151627602,8,0.25
0.106311040783704,8,0.5
0.120703981933634,8,0.75
0.141884519718576,8,0.95
0.0727993830225969,9,0.05
0.0921336114028061,9,0.25
0.105407903721345,9,0.5
0.120252980629386,9,0.75
0.142044431058953,9,0.95
0.072792653613082,11,0.05
0.0922608852909722,11,0.25
0.10596762619387,11,0.5
0.120564336686589,11,0.75
0.14210250053714,11,0.95
0.072792653613082,12,0.05
0.0922608852909722,12,0.25
0.10596762619387,12,0.5
0.120564336686589,12,0.75
0.14210250053714,12,0.95
0.0716138353733975,13,0.05
0.0909542994595601,13,0.25
0.104732927080893,13,0.5
0.119324219138693,13,0.75
0.140862641249123,13,0.95
0.0716138353733975,14,0.05
0.0909542994595601,14,0.25
0.104732927080893,14,0.5
0.119324219138693,14,0.75
0.140862641249123,14,0.95
0.0711490214655018,15,0.05
0.0904684307528508,15,0.25
0.104478578600085,15,0.5
0.118459362227886,15,0.75
0.14038712305893,15,0.95
0.0711490214655018,16,0.05
0.090286696882517,16,0.25
0.10445375164636,16,0.5
0.118315609938837,16,0.75
0.14038712305893,16,0.95
0.0711490214655018,17,0.05
0.090286696882517,17,0.25
0.103467904728824,17,0.5
0.118232645104175,17,0.75
0.14038712305893,17,0.95
0.0708748154420349,18,0.05
0.0908965239570182,18,0.25
0.103732352986769,18,0.5
0.118635628502401,18,0.75
0.139075378830776,18,0.95
0.0708748154420349,19,0.05
0.0908965239570182,19,0.25
0.103732352986769,19,0.5
0.118635628502401,19,0.75
0.139075378830776,19,0.95
