"outcome","input","quant"
5.47786206666117,1,0.05
16.6203544196084,1,0.25
19.8742907323666,1,0.5
22.4942265055022,1,0.75
26.4665029503869,1,0.95
4.75663925205465,2,0.05
15.3019518510703,2,0.25
19.272546181287,2,0.5
21.2538960874982,2,0.75
24.0242228326819,2,0.95
4.41033824491943,3,0.05
14.294939886328,3,0.25
18.5983008373748,3,0.5
20.490979929713,3,0.75
23.1166195483626,3,0.95
4.14976979397889,4,0.05
13.8648289673061,4,0.25
18.2923261347556,4,0.5
20.1511995254648,4,0.75
22.5631284691989,4,0.95
3.76863176232911,5,0.05
13.6241359031594,5,0.25
18.0683312222069,5,0.5
19.9701978286472,5,0.75
22.5195413831419,5,0.95
