"outcome","input","quant"
14.5611762338105,1,0.05
18.0619704860352,1,0.25
20.8188672610508,1,0.5
28.7190318295326,1,0.75
42.1479104263826,1,0.95
14.521592815645,2,0.05
17.9453242319116,2,0.25
20.3640684273186,2,0.5
27.3018944735177,2,0.75
41.9833318151536,2,0.95
14.3927286586302,3,0.05
17.5875206097069,3,0.25
19.791813106232,3,0.5
26.7957883118963,3,0.75
41.593850294184,3,0.95
14.1809560395164,4,0.05
17.2380103507492,4,0.25
19.3280626504496,4,0.5
26.3708116787985,4,0.75
41.0692505501745,4,0.95
13.9460766917193,5,0.05
17.0835786755795,5,0.25
19.2656254181422,5,0.5
26.1105298768446,5,0.75
40.883967121416,5,0.95
