"outcome","input","quant"
26.7030500853756,2000,0.05
34.001606469372,2000,0.25
37.9262878543056,2000,0.5
43.2226509580361,2000,0.75
52.1109945544668,2000,0.95
26.7030500853756,2001,0.05
34.001606469372,2001,0.25
37.9262878543056,2001,0.5
43.2226509580361,2001,0.75
52.1109945544668,2001,0.95
26.7030500853756,2002,0.05
34.001606469372,2002,0.25
37.9262878543056,2002,0.5
43.2226509580361,2002,0.75
52.1109945544668,2002,0.95
26.7030500853756,2003,0.05
34.001606469372,2003,0.25
37.9262878543056,2003,0.5
43.2226509580361,2003,0.75
52.1109945544668,2003,0.95
26.7030500853756,2004,0.05
34.001606469372,2004,0.25
37.9262878543056,2004,0.5
43.2226509580361,2004,0.75
52.1109945544668,2004,0.95
26.7030500853756,2005,0.05
34.001606469372,2005,0.25
37.9262878543056,2005,0.5
43.2226509580361,2005,0.75
52.1109945544668,2005,0.95
26.7030500853756,2006,0.05
34.001606469372,2006,0.25
37.9262878543056,2006,0.5
43.2226509580361,2006,0.75
52.1109945544668,2006,0.95
26.7030500853756,2007,0.05
34.001606469372,2007,0.25
37.9262878543056,2007,0.5
43.2226509580361,2007,0.75
52.1109945544668,2007,0.95
26.7030500853756,2008,0.05
34.001606469372,2008,0.25
37.9262878543056,2008,0.5
43.2226509580361,2008,0.75
52.1109945544668,2008,0.95
26.7030500853756,2009,0.05
34.001606469372,2009,0.25
37.9262878543056,2009,0.5
43.2226509580361,2009,0.75
52.1109945544668,2009,0.95
26.7030500853756,2010,0.05
34.001606469372,2010,0.25
37.9262878543056,2010,0.5
43.2226509580361,2010,0.75
52.1109945544668,2010,0.95
26.7030500853756,2011,0.05
34.001606469372,2011,0.25
37.9262878543056,2011,0.5
43.2226509580361,2011,0.75
52.1109945544668,2011,0.95
26.7030500853756,2012,0.05
34.001606469372,2012,0.25
37.9262878543056,2012,0.5
43.2226509580361,2012,0.75
52.1109945544668,2012,0.95
26.7030500853756,2013,0.05
34.001606469372,2013,0.25
37.9262878543056,2013,0.5
43.2226509580361,2013,0.75
52.1109945544668,2013,0.95
26.7030500853756,2014,0.05
34.001606469372,2014,0.25
37.9262878543056,2014,0.5
43.2226509580361,2014,0.75
52.1109945544668,2014,0.95
26.7030500853756,2015,0.05
34.001606469372,2015,0.25
37.9262878543056,2015,0.5
43.2226509580361,2015,0.75
52.1109945544668,2015,0.95
26.7030500853756,2016,0.05
34.001606469372,2016,0.25
37.9262878543056,2016,0.5
43.2226509580361,2016,0.75
52.1109945544668,2016,0.95
26.7030500853756,2017,0.05
34.001606469372,2017,0.25
37.9262878543056,2017,0.5
43.2226509580361,2017,0.75
52.1109945544668,2017,0.95
26.7030500853756,2018,0.05
34.001606469372,2018,0.25
37.9262878543056,2018,0.5
43.2226509580361,2018,0.75
52.1109945544668,2018,0.95
26.7030500853756,2019,0.05
34.001606469372,2019,0.25
37.9262878543056,2019,0.5
43.2226509580361,2019,0.75
52.1109945544668,2019,0.95
26.7030500853756,2020,0.05
34.001606469372,2020,0.25
37.9262878543056,2020,0.5
43.2226509580361,2020,0.75
52.1109945544668,2020,0.95
26.7030500853756,2021,0.05
34.001606469372,2021,0.25
37.9262878543056,2021,0.5
43.2226509580361,2021,0.75
52.1109945544668,2021,0.95
26.7030500853756,2022,0.05
34.001606469372,2022,0.25
37.9262878543056,2022,0.5
43.2226509580361,2022,0.75
52.1109945544668,2022,0.95
26.7030500853756,2023,0.05
34.001606469372,2023,0.25
37.9262878543056,2023,0.5
43.2226509580361,2023,0.75
52.1109945544668,2023,0.95
