"outcome","input","quant"
1.21592959012067,2000,0.05
1.84477487357763,2000,0.25
2.49353270160262,2000,0.5
3.52351471669954,2000,0.75
5.29004492216824,2000,0.95
1.21592959012067,2001,0.05
1.84477487357763,2001,0.25
2.49353270160262,2001,0.5
3.52351471669954,2001,0.75
5.29004492216824,2001,0.95
1.21592959012067,2002,0.05
1.84477487357763,2002,0.25
2.49353270160262,2002,0.5
3.52351471669954,2002,0.75
5.29004492216824,2002,0.95
1.21592959012067,2003,0.05
1.84477487357763,2003,0.25
2.49353270160262,2003,0.5
3.52351471669954,2003,0.75
5.29004492216824,2003,0.95
1.21592959012067,2004,0.05
1.84477487357763,2004,0.25
2.49353270160262,2004,0.5
3.52351471669954,2004,0.75
5.29004492216824,2004,0.95
1.21592959012067,2005,0.05
1.84477487357763,2005,0.25
2.49353270160262,2005,0.5
3.52351471669954,2005,0.75
5.29004492216824,2005,0.95
1.21592959012067,2006,0.05
1.84477487357763,2006,0.25
2.49353270160262,2006,0.5
3.52351471669954,2006,0.75
5.29004492216824,2006,0.95
1.21592959012067,2007,0.05
1.84477487357763,2007,0.25
2.49353270160262,2007,0.5
3.52351471669954,2007,0.75
5.29004492216824,2007,0.95
1.21592959012067,2008,0.05
1.84477487357763,2008,0.25
2.49353270160262,2008,0.5
3.52351471669954,2008,0.75
5.29004492216824,2008,0.95
1.21592959012067,2009,0.05
1.84477487357763,2009,0.25
2.49353270160262,2009,0.5
3.52351471669954,2009,0.75
5.29004492216824,2009,0.95
1.21592959012067,2010,0.05
1.84477487357763,2010,0.25
2.49353270160262,2010,0.5
3.52351471669954,2010,0.75
5.29004492216824,2010,0.95
1.21592959012067,2011,0.05
1.84477487357763,2011,0.25
2.49353270160262,2011,0.5
3.52351471669954,2011,0.75
5.29004492216824,2011,0.95
1.21592959012067,2012,0.05
1.84477487357763,2012,0.25
2.49353270160262,2012,0.5
3.52351471669954,2012,0.75
5.29004492216824,2012,0.95
1.21592959012067,2013,0.05
1.84477487357763,2013,0.25
2.49353270160262,2013,0.5
3.52351471669954,2013,0.75
5.29004492216824,2013,0.95
1.21592959012067,2014,0.05
1.84477487357763,2014,0.25
2.49353270160262,2014,0.5
3.52351471669954,2014,0.75
5.29004492216824,2014,0.95
1.21592959012067,2015,0.05
1.84477487357763,2015,0.25
2.49353270160262,2015,0.5
3.52351471669954,2015,0.75
5.29004492216824,2015,0.95
1.21592959012067,2016,0.05
1.84477487357763,2016,0.25
2.49353270160262,2016,0.5
3.52351471669954,2016,0.75
5.29004492216824,2016,0.95
1.21592959012067,2017,0.05
1.84477487357763,2017,0.25
2.49353270160262,2017,0.5
3.52351471669954,2017,0.75
5.29004492216824,2017,0.95
1.21592959012067,2018,0.05
1.84477487357763,2018,0.25
2.49353270160262,2018,0.5
3.52351471669954,2018,0.75
5.29004492216824,2018,0.95
1.21592959012067,2019,0.05
1.84477487357763,2019,0.25
2.49353270160262,2019,0.5
3.52351471669954,2019,0.75
5.29004492216824,2019,0.95
1.21592959012067,2020,0.05
1.84477487357763,2020,0.25
2.49353270160262,2020,0.5
3.52351471669954,2020,0.75
5.29004492216824,2020,0.95
1.21592959012067,2021,0.05
1.84477487357763,2021,0.25
2.49353270160262,2021,0.5
3.52351471669954,2021,0.75
5.29004492216824,2021,0.95
1.21592959012067,2022,0.05
1.84477487357763,2022,0.25
2.49353270160262,2022,0.5
3.52351471669954,2022,0.75
5.29004492216824,2022,0.95
1.21592959012067,2023,0.05
1.84477487357763,2023,0.25
2.49353270160262,2023,0.5
3.52351471669954,2023,0.75
5.29004492216824,2023,0.95
