"outcome","input","quant"
0.488819873591176,1,0.05
0.538941437778569,1,0.25
0.55836628467052,1,0.5
0.584324985116708,1,0.75
0.643115280100067,1,0.95
0.483294810202103,2,0.05
0.534696131648427,2,0.25
0.554511631582715,2,0.5
0.58002993182213,2,0.75
0.642000620234101,2,0.95
0.483294810202103,3,0.05
0.534696131648427,3,0.25
0.554511631582715,3,0.5
0.58002993182213,3,0.75
0.642000620234101,3,0.95
0.483294810202103,4,0.05
0.534696131648427,4,0.25
0.554511631582715,4,0.5
0.58002993182213,4,0.75
0.642000620234101,4,0.95
0.483294810202103,5,0.05
0.534696131648427,5,0.25
0.554511631582715,5,0.5
0.58002993182213,5,0.75
0.642000620234101,5,0.95
