"outcome","input","quant"
0,2000,0.05
0,2000,0.25
0,2000,0.5
0,2000,0.75
0,2000,0.95
0,2001,0.05
0,2001,0.25
0,2001,0.5
0,2001,0.75
0,2001,0.95
0,2002,0.05
0,2002,0.25
0,2002,0.5
0,2002,0.75
0,2002,0.95
0,2003,0.05
0,2003,0.25
0,2003,0.5
0,2003,0.75
0,2003,0.95
0,2004,0.05
0,2004,0.25
0,2004,0.5
0,2004,0.75
0,2004,0.95
0,2005,0.05
0,2005,0.25
0,2005,0.5
0,2005,0.75
0,2005,0.95
0,2006,0.05
0,2006,0.25
0,2006,0.5
0,2006,0.75
0,2006,0.95
0,2007,0.05
0,2007,0.25
0,2007,0.5
0,2007,0.75
0,2007,0.95
0,2008,0.05
0,2008,0.25
0,2008,0.5
0,2008,0.75
0,2008,0.95
0,2009,0.05
0,2009,0.25
0,2009,0.5
0,2009,0.75
0,2009,0.95
0,2010,0.05
0,2010,0.25
0,2010,0.5
0,2010,0.75
0,2010,0.95
0,2011,0.05
0,2011,0.25
0,2011,0.5
0,2011,0.75
0,2011,0.95
0,2012,0.05
0,2012,0.25
0,2012,0.5
0,2012,0.75
0,2012,0.95
0,2013,0.05
0,2013,0.25
0,2013,0.5
0,2013,0.75
0,2013,0.95
0,2014,0.05
0,2014,0.25
0,2014,0.5
0,2014,0.75
0,2014,0.95
0,2015,0.05
0,2015,0.25
0,2015,0.5
0,2015,0.75
0,2015,0.95
0,2016,0.05
0,2016,0.25
0,2016,0.5
0,2016,0.75
0,2016,0.95
0,2017,0.05
0,2017,0.25
0,2017,0.5
0,2017,0.75
0,2017,0.95
0,2018,0.05
0,2018,0.25
0,2018,0.5
0,2018,0.75
0,2018,0.95
0,2019,0.05
0,2019,0.25
0,2019,0.5
0,2019,0.75
0,2019,0.95
0,2020,0.05
0,2020,0.25
0,2020,0.5
0,2020,0.75
0,2020,0.95
0,2021,0.05
0,2021,0.25
0,2021,0.5
0,2021,0.75
0,2021,0.95
0,2022,0.05
0,2022,0.25
0,2022,0.5
0,2022,0.75
0,2022,0.95
0,2023,0.05
0,2023,0.25
0,2023,0.5
0,2023,0.75
0,2023,0.95
