TG_DateNum,daylight_hours
726833,8.333333333
726834,8.35
726835,8.383333333
726836,8.4
726837,8.416666667
726838,8.433333333
726839,8.466666667
726840,8.483333333
726841,8.516666667
726842,8.55
726843,8.583333333
726844,8.6
726845,8.633333333
726846,8.666666667
726847,8.7
726848,8.75
726849,8.783333333
726850,8.816666667
726851,8.85
726852,8.9
726853,8.933333333
726854,8.983333333
726855,9.016666667
726856,9.066666667
726857,9.116666667
726858,9.15
726859,9.2
726860,9.25
726861,9.3
726862,9.35
726863,9.4
726864,9.45
726865,9.5
726866,9.55
726867,9.6
726868,9.65
726869,9.7
726870,9.75
726871,9.8
726872,9.866666667
726873,9.916666667
726874,9.966666667
726875,10.01666667
726876,10.08333333
726877,10.13333333
726878,10.18333333
726879,10.25
726880,10.3
726881,10.36666667
726882,10.41666667
726883,10.48333333
726884,10.53333333
726885,10.6
726886,10.65
726887,10.71666667
726888,10.76666667
726889,10.83333333
726890,10.88333333
726891,10.95
726892,11
726893,11.06666667
726894,11.11666667
726895,11.18333333
726896,11.23333333
726897,11.3
726898,11.36666667
726899,11.41666667
726900,11.48333333
726901,11.53333333
726902,11.6
726903,11.66666667
726904,11.71666667
726905,11.78333333
726906,11.83333333
726907,11.9
726908,11.96666667
726909,12.01666667
726910,12.08333333
726911,12.13333333
726912,12.2
726913,12.26666667
726914,12.31666667
726915,12.38333333
726916,12.45
726917,12.5
726918,12.56666667
726919,12.61666667
726920,12.68333333
726921,12.75
726922,12.8
726923,12.86666667
726924,12.91666667
726925,12.98333333
726926,13.03333333
726927,13.1
726928,13.16666667
726929,13.21666667
726930,13.28333333
726931,13.33333333
726932,13.4
726933,13.45
726934,13.51666667
726935,13.56666667
726936,13.63333333
726937,13.68333333
726938,13.75
726939,13.8
726940,13.85
726941,13.91666667
726942,13.96666667
726943,14.03333333
726944,14.08333333
726945,14.13333333
726946,14.2
726947,14.25
726948,14.3
726949,14.36666667
726950,14.41666667
726951,14.46666667
726952,14.51666667
726953,14.56666667
726954,14.63333333
726955,14.68333333
726956,14.73333333
726957,14.78333333
726958,14.83333333
726959,14.88333333
726960,14.93333333
726961,14.98333333
726962,15.03333333
726963,15.08333333
726964,15.11666667
726965,15.16666667
726966,15.21666667
726967,15.26666667
726968,15.3
726969,15.35
726970,15.38333333
726971,15.43333333
726972,15.46666667
726973,15.51666667
726974,15.55
726975,15.58333333
726976,15.63333333
726977,15.66666667
726978,15.7
726979,15.73333333
726980,15.76666667
726981,15.8
726982,15.83333333
726983,15.85
726984,15.88333333
726985,15.91666667
726986,15.93333333
726987,15.96666667
726988,15.98333333
726989,16.01666667
726990,16.03333333
