TG_DateNum,daylight_hours
726833,8.483333333
726834,8.5
726835,8.516666667
726836,8.533333333
726837,8.55
726838,8.583333333
726839,8.6
726840,8.633333333
726841,8.65
726842,8.683333333
726843,8.7
726844,8.733333333
726845,8.766666667
726846,8.8
726847,8.833333333
726848,8.866666667
726849,8.9
726850,8.933333333
726851,8.983333333
726852,9.016666667
726853,9.05
726854,9.1
726855,9.133333333
726856,9.183333333
726857,9.216666667
726858,9.266666667
726859,9.3
726860,9.35
726861,9.4
726862,9.45
726863,9.483333333
726864,9.533333333
726865,9.583333333
726866,9.633333333
726867,9.683333333
726868,9.733333333
726869,9.783333333
726870,9.833333333
726871,9.883333333
726872,9.933333333
726873,10
726874,10.05
726875,10.1
726876,10.15
726877,10.2
726878,10.26666667
726879,10.31666667
726880,10.36666667
726881,10.41666667
726882,10.48333333
726883,10.53333333
726884,10.58333333
726885,10.65
726886,10.7
726887,10.75
726888,10.81666667
726889,10.86666667
726890,10.93333333
726891,10.98333333
726892,11.03333333
726893,11.1
726894,11.15
726895,11.21666667
726896,11.26666667
726897,11.33333333
726898,11.38333333
726899,11.45
726900,11.5
726901,11.55
726902,11.61666667
726903,11.66666667
726904,11.73333333
726905,11.78333333
726906,11.85
726907,11.9
726908,11.96666667
726909,12.01666667
726910,12.08333333
726911,12.13333333
726912,12.2
726913,12.25
726914,12.31666667
726915,12.36666667
726916,12.43333333
726917,12.48333333
726918,12.55
726919,12.6
726920,12.66666667
726921,12.71666667
726922,12.78333333
726923,12.83333333
726924,12.9
726925,12.95
726926,13
726927,13.06666667
726928,13.11666667
726929,13.18333333
726930,13.23333333
726931,13.28333333
726932,13.35
726933,13.4
726934,13.46666667
726935,13.51666667
726936,13.56666667
726937,13.63333333
726938,13.68333333
726939,13.73333333
726940,13.8
726941,13.85
726942,13.9
726943,13.95
726944,14.01666667
726945,14.06666667
726946,14.11666667
726947,14.16666667
726948,14.23333333
726949,14.28333333
726950,14.33333333
726951,14.38333333
726952,14.43333333
726953,14.48333333
726954,14.53333333
726955,14.58333333
726956,14.63333333
726957,14.68333333
726958,14.73333333
726959,14.78333333
726960,14.83333333
726961,14.86666667
726962,14.91666667
726963,14.96666667
726964,15.01666667
726965,15.05
726966,15.1
726967,15.15
726968,15.18333333
726969,15.23333333
726970,15.26666667
726971,15.3
726972,15.35
726973,15.38333333
726974,15.41666667
726975,15.45
726976,15.5
726977,15.53333333
726978,15.56666667
726979,15.6
726980,15.63333333
726981,15.65
726982,15.68333333
726983,15.71666667
726984,15.75
726985,15.76666667
726986,15.8
726987,15.81666667
726988,15.83333333
726989,15.86666667
726990,15.88333333
726991,15.9
726992,15.91666667
726993,15.93333333
726994,15.95
726995,15.96666667
726996,15.96666667
726997,15.98333333
726998,16
726999,16
727000,16
727001,16.01666667
727002,16.01666667
727003,16.01666667
727004,16.01666667
727005,16.01666667
727006,16.01666667
727007,16.01666667
727008,16.01666667
727009,16
727010,16
727011,15.98333333
727012,15.98333333
727013,15.96666667
727014,15.95
727015,15.93333333
727016,15.91666667
727017,15.9
727018,15.88333333
727019,15.86666667
727020,15.85
727021,15.81666667
727022,15.8
727023,15.78333333
727024,15.75
727025,15.73333333
727026,15.7
727027,15.66666667
727028,15.63333333
727029,15.6
727030,15.58333333
727031,15.55
727032,15.5
727033,15.46666667
727034,15.43333333
727035,15.4
727036,15.36666667
727037,15.31666667
727038,15.28333333
727039,15.25
727040,15.2
727041,15.16666667
727042,15.11666667
727043,15.08333333
727044,15.03333333
727045,14.98333333
727046,14.95
727047,14.9
727048,14.85
727049,14.8
727050,14.76666667
727051,14.71666667
727052,14.66666667
727053,14.61666667
727054,14.56666667
727055,14.51666667
727056,14.46666667
727057,14.41666667
727058,14.36666667
