code,text
A00,Cholera
A01,Typhus abdominalis und Paratyphus
A02,Sonstige Salmonelleninfektionen
A03,Shigellose [Bakterielle Ruhr]
A04,Sonstige bakterielle Darminfektionen
A05,"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert"
A06,Amöbiasis
A07,Sonstige Darmkrankheiten durch Protozoen
A08,Virusbedingte und sonstige näher bezeichnete Darminfektionen
A09,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs
A15,"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
A16,"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
A17,Tuberkulose des Nervensystems
A18,Tuberkulose sonstiger Organe
A19,Miliartuberkulose
A20,Pest
A21,Tularämie
A22,Anthrax [Milzbrand]
A23,Brucellose
A24,Rotz [Malleus] und Melioidose [Pseudorotz]
A25,Rattenbisskrankheiten
A26,Erysipeloid
A27,Leptospirose
A28,"Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert"
A30,Lepra [Aussatz]
A31,Infektion durch sonstige Mykobakterien
A32,Listeriose
A33,Tetanus neonatorum
A34,"Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes"
A35,Sonstiger Tetanus
A36,Diphtherie
A37,Keuchhusten
A38,Scharlach
A39,Meningokokkeninfektion
A40,Streptokokkensepsis
A41,Sonstige Sepsis
A42,Aktinomykose
A43,Nokardiose
A44,Bartonellose
A46,Erysipel [Wundrose]
A48,"Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert"
A49,Bakterielle Infektion nicht näher bezeichneter Lokalisation
A50,Syphilis connata
A51,Frühsyphilis
A52,Spätsyphilis
A53,Sonstige und nicht näher bezeichnete Syphilis
A54,Gonokokkeninfektion
A55,Lymphogranuloma inguinale (venereum) durch Chlamydien
A56,Sonstige durch Geschlechtsverkehr übertragene Chlamydienkrankheiten
A57,Ulcus molle (venereum)
A58,Granuloma venereum (inguinale)
A59,Trichomoniasis
A60,Infektionen des Anogenitalbereiches durch Herpesviren [Herpes simplex]
A63,"Sonstige vorwiegend durch Geschlechtsverkehr übertragene Krankheiten, anderenorts nicht klassifiziert"
A64,"Durch Geschlechtsverkehr übertragene Krankheiten, nicht näher bezeichnet"
A65,Nichtvenerische Syphilis
A66,Frambösie
A67,Pinta [Carate]
A68,Rückfallfieber
A69,Sonstige Spirochäteninfektionen
A70,Infektionen durch Chlamydia psittaci
A71,Trachom
A74,Sonstige Krankheiten durch Chlamydien
A75,Fleckfieber
A77,"Zeckenbissfieber [Rickettsiosen, durch Zecken übertragen]"
A78,Q-Fieber
A79,Sonstige Rickettsiosen
A80,Akute Poliomyelitis [Spinale Kinderlähmung]
A81,Atypische Virusinfektionen des Zentralnervensystems
A82,Tollwut [Rabies]
A83,"Virusenzephalitis, durch Moskitos [Stechmücken] übertragen"
A84,"Virusenzephalitis, durch Zecken übertragen"
A85,"Sonstige Virusenzephalitis, anderenorts nicht klassifiziert"
A86,"Virusenzephalitis, nicht näher bezeichnet"
A87,Virusmeningitis
A88,"Sonstige Virusinfektionen des Zentralnervensystems, anderenorts nicht klassifiziert"
A89,"Virusinfektion des Zentralnervensystems, nicht näher bezeichnet"
A92,Sonstige durch Moskitos [Stechmücken] übertragene Viruskrankheiten
A93,"Sonstige durch Arthropoden übertragene Viruskrankheiten, anderenorts nicht klassifiziert"
A94,"Durch Arthropoden übertragene Viruskrankheit, nicht näher bezeichnet"
A95,Gelbfieber
A96,Hämorrhagisches Fieber durch Arenaviren
A97,Dengue
A98,"Sonstige hämorrhagische Viruskrankheiten, anderenorts nicht klassifiziert"
A99,Nicht näher bezeichnete hämorrhagische Viruskrankheit
B00,Infektionen durch Herpesviren [Herpes simplex]
B01,Varizellen [Windpocken]
