start,end,public.holiday
736269,736273,0
736635,736637,0
736997,737001,0
737361,737365,0
737725,737727,0
738089,738093,0
738461,738465,0
738826,738828,0
736320,736337,0
736686,736701,0
737050,737064,0
737417,737429,0
737781,737793,0
738147,738164,0
738512,738528,0
738875,738892,0
736417,736421,0
736794,736805,0
737144,737155,0
737529,737541,0
737886,737898,0
738251,738255,0
738629,738633,0
738986,738990,0
736466,736477,0
736851,736861,0
737201,737212,0
737586,737596,0
737943,737954,0
738300,738311,0
738678,738689,0
739035,739045,0
736329,736329,1
736334,736334,1
736412,736412,1
736413,736413,1
736416,736416,1
736450,736450,1
736454,736454,1
736465,736465,1
736475,736475,1
736605,736605,1
736633,736633,1
736634,736634,1
736688,736688,1
736689,736689,1
736695,736695,1
736700,736700,1
736797,736797,1
736798,736798,1
736801,736801,1
736815,736815,1
736839,736839,1
736850,736850,1
736860,736860,1
736970,736970,1
736998,736998,1
736999,736999,1
737053,737053,1
737054,737054,1
737060,737060,1
737065,737065,1
737147,737147,1
737148,737148,1
737151,737151,1
737180,737180,1
737189,737189,1
737200,737200,1
737210,737210,1
737335,737335,1
737363,737363,1
737364,737364,1
737418,737418,1
737419,737419,1
737425,737425,1
737430,737430,1
737532,737532,1
737533,737533,1
737536,737536,1
737545,737545,1
737574,737574,1
737585,737585,1
737595,737595,1
737700,737700,1
737728,737728,1
737729,737729,1
737783,737783,1
737784,737784,1
737790,737790,1
737795,737795,1
737889,737889,1
737890,737890,1
737893,737893,1
737911,737911,1
737931,737931,1
737942,737942,1
737952,737952,1
738066,738066,1
738094,738094,1
738095,738095,1
738149,738149,1
738150,738150,1
738156,738156,1
738161,738161,1
738246,738246,1
738247,738247,1
738250,738250,1
738276,738276,1
738288,738288,1
738299,738299,1
738309,738309,1
738431,738431,1
738459,738459,1
738460,738460,1
738514,738514,1
738515,738515,1
738521,738521,1
738526,738526,1
738624,738624,1
738625,738625,1
738628,738628,1
738641,738641,1
738666,738666,1
738677,738677,1
738687,738687,1
738796,738796,1
738824,738824,1
738825,738825,1
738879,738879,1
738880,738880,1
738886,738886,1
738891,738891,1
738981,738981,1
738982,738982,1
738985,738985,1
739006,739006,1
739023,739023,1
739034,739034,1
739044,739044,1
739161,739161,1
739189,739189,1
739190,739190,1
739244,739244,1
739245,739245,1
