"outcome","input","quant"
-0.572896346880094,1,0.05
0.358788548244512,1,0.25
1.28339173830993,1,0.5
2.54768360626863,1,0.75
5.30553379342154,1,0.95
-0.0196200910462562,2,0.05
0.931803555678571,2,0.25
1.82591233640003,2,0.5
3.11735170978803,2,0.75
5.25233251575914,2,0.95
0.133795415913581,3,0.05
1.07704766284372,3,0.25
1.97699987649439,3,0.5
3.26061012971569,3,0.75
5.37189238084984,3,0.95
0.204032314047223,4,0.05
1.22469504087838,4,0.25
2.11741771113215,4,0.5
3.4451696025247,4,0.75
5.62271180997583,4,0.95
0.161390473766122,5,0.05
1.16123892575588,5,0.25
2.09760513554331,5,0.5
3.43101617698796,5,0.75
5.41603139009818,5,0.95
0.171846346756401,6,0.05
1.15838525641381,6,0.25
2.04434994231775,6,0.5
3.35150497759194,6,0.75
5.46506943427616,6,0.95
0.153564683200942,7,0.05
1.10321411268282,7,0.25
1.99943625319215,7,0.5
3.26986157105618,7,0.75
5.35556622667373,7,0.95
