"outcome","input","quant"
0.553380611208064,1,0.05
0.564170885489822,1,0.25
0.574944692766693,1,0.5
0.58182631749639,1,0.75
0.593568637721271,1,0.95
0.597854128278841,2,0.05
0.614608272065739,2,0.25
0.626225985038165,2,0.5
0.638541000672563,2,0.75
0.660256726002109,2,0.95
0.527047065584296,3,0.05
0.534278799494499,3,0.25
0.540979187815456,3,0.5
0.550466699299856,3,0.75
0.562292841241795,3,0.95
0.554288360924633,4,0.05
0.56045167946235,4,0.25
0.56782203352409,4,0.5
0.57731130775156,4,0.75
0.59432947035207,4,0.95
0.529547821983552,5,0.05
0.543395654444152,5,0.25
0.54986966349518,5,0.5
0.556913336478481,5,0.75
0.5715055146305,5,0.95
0.611440509818052,6,0.05
0.619587073045886,6,0.25
0.628625894315158,6,0.5
0.641827819033172,6,0.75
0.650887558876567,6,0.95
0.472882921499392,7,0.05
0.482840364090492,7,0.25
0.488763621460832,7,0.5
0.494618412229331,7,0.75
0.504507806726029,7,0.95
