"outcome","input","quant"
40.6913231411174,0.35,0.05
50.4252508907942,0.35,0.25
55.2253492663362,0.35,0.5
60.6237189599348,0.35,0.75
68.1812219500384,0.35,0.95
40.6913231411174,0.45,0.05
50.4252508907942,0.45,0.25
55.2253492663362,0.45,0.5
60.6237189599348,0.45,0.75
68.1812219500384,0.45,0.95
40.6913231411174,0.55,0.05
50.4252508907942,0.55,0.25
55.2253492663362,0.55,0.5
60.6237189599348,0.55,0.75
68.1812219500384,0.55,0.95
40.6913231411174,0.65,0.05
50.4252508907942,0.65,0.25
55.2253492663362,0.65,0.5
60.6237189599348,0.65,0.75
68.1812219500384,0.65,0.95
