"outcome","input","quant"
0.497257039229944,0.35,0.05
0.539899751704273,0.35,0.25
0.551071525514104,0.35,0.5
0.573403093130528,0.35,0.75
0.634131583844692,0.35,0.95
0.497257039229944,0.45,0.05
0.539899751704273,0.45,0.25
0.551071525514104,0.45,0.5
0.573403093130528,0.45,0.75
0.634131583844692,0.45,0.95
0.497257039229944,0.55,0.05
0.539899751704273,0.55,0.25
0.551071525514104,0.55,0.5
0.573403093130528,0.55,0.75
0.634131583844692,0.55,0.95
0.497257039229944,0.65,0.05
0.539899751704273,0.65,0.25
0.551071525514104,0.65,0.5
0.573403093130528,0.65,0.75
0.634131583844692,0.65,0.95
