"outcome","input","quant"
4.26990277309908,0,0.05
15.6355968934188,0,0.25
19.1349627030348,0,0.5
21.2328242369865,0,0.75
24.7610036525205,0,0.95
4.37355124113227,1,0.05
15.6765471619923,1,0.25
19.209626469679,1,0.5
21.2894357060422,1,0.75
24.8320983490723,1,0.95
4.37355124113227,2,0.05
15.6765471619923,2,0.25
19.209626469679,2,0.5
21.2894357060422,2,0.75
24.8320983490723,2,0.95
4.37355124113227,3,0.05
15.6765471619923,3,0.25
19.209626469679,3,0.5
21.2894357060422,3,0.75
24.8320983490723,3,0.95
4.46150514727972,4,0.05
15.7596164550517,4,0.25
19.3096285463976,4,0.5
21.3959896410683,4,0.75
24.9423773164246,4,0.95
4.46150514727972,5,0.05
15.7596164550517,5,0.25
19.3096285463976,5,0.5
21.3959896410683,5,0.75
24.9423773164246,5,0.95
4.46150514727972,6,0.05
15.7596164550517,6,0.25
19.3096285463976,6,0.5
21.3959896410683,6,0.75
24.9423773164246,6,0.95
4.30479782687602,7,0.05
15.5849148624978,7,0.25
19.1193470725311,7,0.5
21.225103992058,7,0.75
24.721766135963,7,0.95
