"outcome","input","quant"
0.5131653832606,0,0.05
0.545765882842801,0,0.25
0.566984820666688,0,0.5
0.590081054354723,0,0.75
0.62964927849509,0,0.95
0.5131653832606,1,0.05
0.545765882842801,1,0.25
0.566984820666688,1,0.5
0.590081054354723,1,0.75
0.62964927849509,1,0.95
0.511389371937454,2,0.05
0.544170568372114,2,0.25
0.565462503525869,2,0.5
0.588885363018117,2,0.75
0.628590410397177,2,0.95
0.511389371937454,3,0.05
0.544170568372114,3,0.25
0.565462503525869,3,0.5
0.588885363018117,3,0.75
0.628590410397177,3,0.95
0.511389371937454,4,0.05
0.544170568372114,4,0.25
0.565462503525869,4,0.5
0.588885363018117,4,0.75
0.628590410397177,4,0.95
0.511389371937454,5,0.05
0.544170568372114,5,0.25
0.565462503525869,5,0.5
0.588885363018117,5,0.75
0.628590410397177,5,0.95
0.511389371937454,6,0.05
0.544170568372114,6,0.25
0.565462503525869,6,0.5
0.588885363018117,6,0.75
0.628590410397177,6,0.95
0.51186268542534,7,0.05
0.545033255766383,7,0.25
0.566443602465802,7,0.5
0.589988994720004,7,0.75
0.629373596224223,7,0.95
