"outcome","input","quant"
0.0230376318894111,0,0.05
0.0386969505272882,0,0.25
0.0529318793557096,0,0.5
0.075339860714054,0,0.75
0.115404137116789,0,0.95
0.0228943151345832,1,0.05
0.0384841168725741,1,0.25
0.0526064783343754,1,0.5
0.0749848638454098,1,0.75
0.114916111319371,1,0.95
0.0228943151345832,2,0.05
0.0384841168725741,2,0.25
0.0526064783343754,2,0.5
0.0749848638454098,2,0.75
0.114916111319371,2,0.95
0.0228943151345832,3,0.05
0.0384841168725741,3,0.25
0.0526064783343754,3,0.5
0.0749848638454098,3,0.75
0.114916111319371,3,0.95
0.0228943151345832,4,0.05
0.0384841168725741,4,0.25
0.0526064783343754,4,0.5
0.0749848638454098,4,0.75
0.114916111319371,4,0.95
0.0228943151345832,5,0.05
0.0384841168725741,5,0.25
0.0526064783343754,5,0.5
0.0749848638454098,5,0.75
0.114916111319371,5,0.95
0.0228943151345832,6,0.05
0.0384841168725741,6,0.25
0.0526064783343754,6,0.5
0.0749848638454098,6,0.75
0.114916111319371,6,0.95
0.0228943151345832,7,0.05
0.0384841168725741,7,0.25
0.0526064783343754,7,0.5
0.0749848638454098,7,0.75
0.114916111319371,7,0.95
