"outcome","input","quant"
14.3640173423804,0,0.05
17.7270441135985,0,0.25
20.1930464245911,0,0.5
28.2352183066053,0,0.75
41.8575546702287,0,0.95
14.3640173423804,1,0.05
17.7270441135985,1,0.25
20.1930464245911,1,0.5
28.2352183066053,1,0.75
41.8575546702287,1,0.95
14.3640173423804,2,0.05
17.7270441135985,2,0.25
20.1930464245911,2,0.5
28.2352183066053,2,0.75
41.8575546702287,2,0.95
14.3640173423804,3,0.05
17.7270441135985,3,0.25
20.1930464245911,3,0.5
28.2352183066053,3,0.75
41.8575546702287,3,0.95
14.3640173423804,4,0.05
17.7270441135985,4,0.25
20.1930464245911,4,0.5
28.2352183066053,4,0.75
41.8575546702287,4,0.95
14.3640173423804,5,0.05
17.7270441135985,5,0.25
20.1930464245911,5,0.5
28.2352183066053,5,0.75
41.8575546702287,5,0.95
14.3640173423804,6,0.05
17.7270441135985,6,0.25
20.1930464245911,6,0.5
28.2352183066053,6,0.75
41.8575546702287,6,0.95
14.3640173423804,7,0.05
17.7270441135985,7,0.25
20.1930464245911,7,0.5
28.2352183066053,7,0.75
41.8575546702287,7,0.95
