"outcome","input","quant"
22.7678918290196,1,0.05
36.4407599320525,1,0.25
41.7254699179934,1,0.5
47.5514578447618,1,0.75
53.8427947903189,1,0.95
20.2576913250338,2,0.05
30.9992077672663,2,0.25
35.7044629903258,2,0.5
39.7643320137196,2,0.75
44.187586505212,2,0.95
20.7401879939493,3,0.05
30.3699116317972,3,0.25
34.8473696577152,3,0.5
38.5762850325864,3,0.75
43.0028674337444,3,0.95
22.575699942139,4,0.05
36.5402880764218,4,0.25
41.5313299461346,4,0.5
47.9893694684212,4,0.75
54.5906223514482,4,0.95
20.5648067675808,5,0.05
31.7683303874372,5,0.25
36.3460384075833,5,0.5
40.6981257594985,5,0.75
45.2284258191257,5,0.95
20.1827048254589,6,0.05
29.9075884469685,6,0.25
34.7775910738212,6,0.5
38.5049158237633,6,0.75
43.3807430487762,6,0.95
23.2468213521776,7,0.05
35.9187779355151,7,0.25
40.8348527927391,7,0.5
46.6857872767812,7,0.75
52.8958464067875,7,0.95
23.0543674608162,8,0.05
32.9280551502187,8,0.25
37.1168227939854,8,0.5
41.0586386949769,8,0.75
45.5312527090604,8,0.95
20.9890862871868,9,0.05
30.6903849985652,9,0.25
35.2358839202838,9,0.5
38.9372474533524,9,0.75
43.7034461389132,9,0.95
23.2849293093381,10,0.05
36.4084104938824,10,0.25
41.4456126879161,10,0.5
47.7752174257295,10,0.75
54.2226191244869,10,0.95
22.7495197463586,11,0.05
32.7526050468512,11,0.25
36.686013426703,11,0.5
40.5304211278963,11,0.75
45.1406222540335,11,0.95
19.9203157166939,12,0.05
29.3674342562219,12,0.25
33.9288609530253,12,0.5
37.6441128427628,12,0.75
42.6707687344018,12,0.95
