"outcome","input","quant"
0,1,0.05
0,1,0.25
0,1,0.5
0,1,0.75
0.24530722938556,1,0.95
0,2,0.05
0,2,0.25
0,2,0.5
0,2,0.75
0,2,0.95
0,3,0.05
0,3,0.25
0,3,0.5
0,3,0.75
0,3,0.95
0,4,0.05
0,4,0.25
0,4,0.5
0,4,0.75
0.67680342938556,4,0.95
0,5,0.05
0,5,0.25
0,5,0.5
0,5,0.75
0,5,0.95
0,6,0.05
0,6,0.25
0,6,0.5
0,6,0.75
0,6,0.95
0,7,0.05
0,7,0.25
0,7,0.5
0,7,0.75
0.24530722938556,7,0.95
0,8,0.05
0,8,0.25
0,8,0.5
0,8,0.75
0,8,0.95
0,9,0.05
0,9,0.25
0,9,0.5
0,9,0.75
0,9,0.95
0,10,0.05
0,10,0.25
0,10,0.5
0,10,0.75
0.67680342938556,10,0.95
0,11,0.05
0,11,0.25
0,11,0.5
0,11,0.75
0,11,0.95
0,12,0.05
0,12,0.25
0,12,0.5
0,12,0.75
0,12,0.95
