"outcome","input","quant"
0.0714466533563148,1,0.05
0.0932614979324462,1,0.25
0.106279130722016,1,0.5
0.12288114265589,1,0.75
0.141747225313724,1,0.95
0.0681772398567374,2,0.05
0.0906016615071855,2,0.25
0.104507024294989,2,0.5
0.121446026736011,2,0.75
0.141188330964662,2,0.95
0.0710091252379967,3,0.05
0.092408931798564,3,0.25
0.107025333840331,3,0.5
0.124048136246092,3,0.75
0.144314978839795,3,0.95
0.0646340809590133,4,0.05
0.0833591095586307,4,0.25
0.0993203664084471,4,0.5
0.115522357340612,4,0.75
0.133024408120073,4,0.95
0.0704395516855988,5,0.05
0.0895289646216282,5,0.25
0.10206849158071,5,0.5
0.121072116013326,5,0.75
0.145490983550105,5,0.95
0.0730972600616599,6,0.05
0.0933425925858247,6,0.25
0.106510002702385,6,0.5
0.121608025512509,6,0.75
0.141000595886348,6,0.95
0.0730972600616599,7,0.05
0.0933425925858247,7,0.25
0.106510002702385,7,0.5
0.121608025512509,7,0.75
0.141000595886348,7,0.95
0.0730972600616599,8,0.05
0.0933425925858247,8,0.25
0.106510002702385,8,0.5
0.121608025512509,8,0.75
0.141000595886348,8,0.95
0.0730972600616599,9,0.05
0.0933425925858247,9,0.25
0.106510002702385,9,0.5
0.121608025512509,9,0.75
0.141000595886348,9,0.95
0.0730972600616599,10,0.05
0.0933425925858247,10,0.25
0.106510002702385,10,0.5
0.121608025512509,10,0.75
0.141000595886348,10,0.95
0.0730972600616599,11,0.05
0.0933425925858247,11,0.25
0.106510002702385,11,0.5
0.121608025512509,11,0.75
0.141000595886348,11,0.95
0.0730972600616599,12,0.05
0.0933425925858247,12,0.25
0.106510002702385,12,0.5
0.121608025512509,12,0.75
0.141000595886348,12,0.95
