"outcome","input","quant"
44.8689470629548,1,0.05
53.9484672813268,1,0.25
58.3830751333854,1,0.5
61.184983706437,1,0.75
64.300274626548,1,0.95
61.5917308905389,2,0.05
65.1958066870844,2,0.25
67.811562505053,2,0.5
71.5070475513724,2,0.75
76.429662545773,2,0.95
57.8369889123156,3,0.05
63.7419538176869,3,0.25
67.3586314800068,3,0.5
70.0645562283542,3,0.75
72.9443190455516,3,0.95
60.2518548183631,5,0.05
64.1089224949102,5,0.25
67.7972301211204,5,0.5
71.3048358163819,5,0.75
77.5573847064818,5,0.95
60.7886878108833,6,0.05
65.134303658337,6,0.25
67.71697612822,6,0.5
70.1229634312646,6,0.75
73.3675506019216,6,0.95
60.2291080220547,7,0.05
68.2332863596005,7,0.25
71.6879777805894,7,0.5
73.6240626929126,7,0.75
75.7507832372312,7,0.95
55.2525374871215,8,0.05
62.2158075737757,8,0.25
65.7733493148446,8,0.5
68.4576513760584,8,0.75
71.6447638833809,8,0.95
58.9341065354597,9,0.05
65.9681531731474,9,0.25
69.0743027375792,9,0.5
72.3492631664651,9,0.75
75.6017044828791,9,0.95
46.7753483004005,11,0.05
59.9142929802332,11,0.25
71.3346466509476,11,0.5
75.2356524872022,11,0.75
79.0820328455664,11,0.95
60.815258673056,12,0.05
65.2700323924773,12,0.25
69.1077371635505,12,0.5
74.675609391127,12,0.75
80.1284094489854,12,0.95
64.1550414371629,13,0.05
68.2120497086534,13,0.25
70.9730816819744,13,0.5
73.6101251019292,13,0.75
76.7039166485445,13,0.95
63.003817993558,14,0.05
68.6676437067638,14,0.25
71.9453044039266,14,0.5
74.8122343474671,14,0.75
78.385554891103,14,0.95
63.0765268797081,15,0.05
67.894534670331,15,0.25
71.4548570234412,15,0.5
76.4016965965232,15,0.75
80.6381994856189,15,0.95
64.0503198793723,16,0.05
67.9893713924198,16,0.25
70.7015511880387,16,0.5
73.7518919367764,16,0.75
77.3855617539431,16,0.95
59.7322319805896,17,0.05
62.7235236551911,17,0.25
64.7211951329046,17,0.5
66.7150315772423,17,0.75
69.3380465780324,17,0.95
63.8340372625314,18,0.05
68.1803109978538,18,0.25
70.6491496457213,18,0.5
72.837582927042,18,0.75
75.8310710240372,18,0.95
55.6609037506686,19,0.05
61.5627893733224,19,0.25
65.7068007308205,19,0.5
70.9346106483443,19,0.75
76.3829460130538,19,0.95
