"outcome","input","quant"
37.6452799488819,1,0.05
40.6007935005276,1,0.25
42.5552316061625,1,0.5
44.6944314459526,1,0.75
47.4316647271157,1,0.95
15.683815629851,2,0.05
17.7359751071446,2,0.25
19.245583155259,2,0.5
20.6299251835763,2,0.75
22.4815528662234,2,0.95
15.968728468087,3,0.05
17.4945647407134,3,0.25
18.4267070635595,3,0.5
19.4848873537034,3,0.75
20.9032474022257,3,0.95
13.5997030613406,5,0.05
14.8335477494624,5,0.25
16.055030055111,5,0.5
17.0772702603305,5,0.75
18.990249945392,5,0.95
23.2598446518373,6,0.05
24.9292094514397,6,0.25
26.7815177447828,6,0.5
29.4530558097283,6,0.75
32.0048950009461,6,0.95
5.61782413753478,7,0.05
7.90538539580159,7,0.25
9.90300899511775,7,0.5
10.7853982647507,7,0.75
11.7424542259207,7,0.95
28.67762493623,8,0.05
30.8727289939597,8,0.25
32.8200886304941,8,0.5
34.5494660355212,8,0.75
36.5014404554233,8,0.95
20.8358136573539,9,0.05
24.7457430520883,9,0.25
25.8406699906164,9,0.5
26.9371678077248,9,0.75
29.1348787986565,9,0.95
19.6660559418934,11,0.05
22.0613717923312,11,0.25
24.8473133167743,11,0.5
26.1667094303945,11,0.75
28.0858990664933,11,0.95
15.9150318928007,12,0.05
17.0272831617105,12,0.25
18.0636055815719,12,0.5
19.4864870938769,12,0.75
21.0092546270071,12,0.95
30.715516878818,13,0.05
33.9797599626057,13,0.25
36.6348509961229,13,0.5
40.5542769969821,13,0.75
44.1511263252217,13,0.95
17.2039120177318,14,0.05
19.5201480861928,14,0.25
20.9590747164362,14,0.5
22.3252396336192,14,0.75
24.0589854128964,14,0.95
16.2041841813562,15,0.05
17.5269488149897,15,0.25
18.4241869645146,15,0.5
19.6982470929488,15,0.75
21.1241963835264,15,0.95
15.2679756589932,16,0.05
16.8932215916042,16,0.25
17.8913531407748,16,0.5
18.7526536714037,16,0.75
19.8300930952244,16,0.95
34.6472931107695,17,0.05
36.5860019356616,17,0.25
38.8556810943743,17,0.5
40.4783889164854,17,0.75
42.3735777772409,17,0.95
14.2097357534852,18,0.05
16.0292496574,18,0.25
17.3080846718141,18,0.5
18.4738197639846,18,0.75
20.185493149877,18,0.95
11.4904261730736,19,0.05
14.1914253808253,19,0.25
16.1484689731474,19,0.5
18.612428807937,19,0.75
20.9031323346592,19,0.95
