"outcome","input","quant"
56.738123474095,2821476.11159633,0.05
64.982933609756,2821476.11159633,0.25
69.1798422130666,2821476.11159633,0.5
73.0545741422245,2821476.11159633,0.75
77.9332916260571,2821476.11159633,0.95
56.95316001664,2908465.7885372,0.05
65.1798535685996,2908465.7885372,0.25
69.357591532661,2908465.7885372,0.5
73.2212957030362,2908465.7885372,0.75
78.0415632009373,2908465.7885372,0.95
57.1373717150117,2995455.46547807,0.05
65.4922367390376,2995455.46547807,0.25
69.6752546048015,2995455.46547807,0.5
73.6461132571697,2995455.46547807,0.75
78.4522151920792,2995455.46547807,0.95
57.3036048587004,3082445.14241895,0.05
65.5316032972545,3082445.14241895,0.25
69.6302644497041,3082445.14241895,0.5
73.4902401420659,3082445.14241895,0.75
78.2025926235832,3082445.14241895,0.95
57.6863537383502,3169434.81935982,0.05
65.8344686595771,3169434.81935982,0.25
69.9157611634067,3169434.81935982,0.5
73.7935313668277,3169434.81935982,0.75
78.5711709809252,3169434.81935982,0.95
57.9614401636246,3256424.49630069,0.05
65.9596223373712,3256424.49630069,0.25
70.0334047999892,3256424.49630069,0.5
73.8575194010599,3256424.49630069,0.75
78.7273827986964,3256424.49630069,0.95
58.0020469248026,3343414.17324157,0.05
66.0469088223221,3343414.17324157,0.25
70.1040775331202,3343414.17324157,0.5
73.918832711411,3343414.17324157,0.75
78.7782416997491,3343414.17324157,0.95
58.0749586377733,3430403.85018244,0.05
66.0099886589895,3430403.85018244,0.25
70.0936583178074,3430403.85018244,0.5
73.8958077566915,3430403.85018244,0.75
78.8168290033543,3430403.85018244,0.95
58.0507477069055,3517393.52712331,0.05
65.9615008040976,3517393.52712331,0.25
70.0643121452778,3517393.52712331,0.5
73.8595639602966,3517393.52712331,0.75
78.8114799493396,3517393.52712331,0.95
58.0011328137704,3604383.20406419,0.05
65.9738216195113,3604383.20406419,0.25
70.0931563288685,3604383.20406419,0.5
73.8813451996279,3604383.20406419,0.75
78.9197346947678,3604383.20406419,0.95
