"outcome","input","quant"
14.3082362968124,2821476.11159633,0.05
17.5553867164754,2821476.11159633,0.25
20.002144957974,2821476.11159633,0.5
28.0839338535172,2821476.11159633,0.75
41.3309372162973,2821476.11159633,0.95
14.335239665638,2908465.7885372,0.05
17.5762937579806,2908465.7885372,0.25
20.0851418599119,2908465.7885372,0.5
28.1500728550603,2908465.7885372,0.75
41.4882648014744,2908465.7885372,0.95
14.3734624593797,2995455.46547807,0.05
17.6206674108509,2995455.46547807,0.25
20.1247459102701,2995455.46547807,0.5
28.1845867413346,2995455.46547807,0.75
41.5352806575764,2995455.46547807,0.95
14.4148798762042,3082445.14241895,0.05
17.6525548635603,3082445.14241895,0.25
20.1742730028315,3082445.14241895,0.5
28.2718268420294,3082445.14241895,0.75
41.6054519998622,3082445.14241895,0.95
14.4336079351339,3169434.81935982,0.05
17.754786572632,3169434.81935982,0.25
20.2629981638505,3169434.81935982,0.5
28.3819980732077,3169434.81935982,0.75
41.5706042697071,3169434.81935982,0.95
14.4125154723613,3256424.49630069,0.05
17.745361568354,3256424.49630069,0.25
20.2756423417394,3256424.49630069,0.5
28.5167440002868,3256424.49630069,0.75
41.9231407357651,3256424.49630069,0.95
14.4444394799228,3343414.17324157,0.05
17.7366556881395,3343414.17324157,0.25
20.2285687524444,3343414.17324157,0.5
28.4851514666319,3343414.17324157,0.75
41.8292631686383,3343414.17324157,0.95
14.5078653111566,3430403.85018244,0.05
17.7860936838789,3430403.85018244,0.25
20.3392686244876,3430403.85018244,0.5
28.5883214059818,3430403.85018244,0.75
41.9626961368891,3430403.85018244,0.95
14.501726915335,3517393.52712331,0.05
17.7629509792982,3517393.52712331,0.25
20.3053095002938,3517393.52712331,0.5
28.4692121993127,3517393.52712331,0.75
41.9300961841994,3517393.52712331,0.95
14.487395064412,3604383.20406419,0.05
17.7476035479762,3604383.20406419,0.25
20.2836945060944,3604383.20406419,0.5
28.3461994882796,3604383.20406419,0.75
41.9329111065448,3604383.20406419,0.95
