"outcome","input","quant"
23.0653833338539,1,0.05
34.3089504536513,1,0.25
39.8993125374751,1,0.5
47.7834718851237,1,0.75
54.8680577004128,1,0.95
22.4918766720301,2,0.05
33.8832756305928,2,0.25
38.6325162692439,2,0.5
44.1131947521753,2,0.75
51.3104101457388,2,0.95
21.0111892455174,3,0.05
32.740589965401,3,0.25
37.2863022736016,3,0.5
42.2148537567968,3,0.75
48.731936936045,3,0.95
20.7460833115862,4,0.05
31.612030780053,4,0.25
36.3098762866951,4,0.5
40.9366884016599,4,0.75
47.2081404366673,4,0.95
20.3600404514046,5,0.05
31.0077060183093,5,0.25
35.6194880636816,5,0.5
40.0998169870357,5,0.75
46.3017496242767,5,0.95
