"outcome","input","quant"
0.19482814593654,1,0.05
1.26318063616666,1,0.25
2.46599588694382,1,0.5
4.18441563858055,1,0.75
5.96358220348969,1,0.95
0.181053589862529,2,0.05
1.23256556610602,2,0.25
2.1738039133922,2,0.5
3.44570327146357,2,0.75
4.92412611731598,2,0.95
0.192587010984173,3,0.05
1.14940261047786,3,0.25
1.95140725136274,3,0.5
2.9376193684079,3,0.75
4.1471098016691,3,0.95
0.0748316137968376,4,0.05
0.962612654038393,4,0.25
1.76185846591639,4,0.5
2.69577036630372,4,0.75
3.90068290653981,4,0.95
0.0307159713975389,5,0.05
0.873895585529842,5,0.25
1.61631272557915,5,0.5
2.49677272335254,5,0.75
3.69714002543715,5,0.95
