"outcome","input","quant"
45.1181702025182,2000,0.05
52.5756996792253,2000,0.25
55.6035155625317,2000,0.5
61.5203783420718,2000,0.75
68.2895101100076,2000,0.95
45.1181702025182,2001,0.05
52.5756996792253,2001,0.25
55.6035155625317,2001,0.5
61.5203783420718,2001,0.75
68.2895101100076,2001,0.95
45.1181702025182,2002,0.05
52.5756996792253,2002,0.25
55.6035155625317,2002,0.5
61.5203783420718,2002,0.75
68.2895101100076,2002,0.95
45.1181702025182,2003,0.05
52.5756996792253,2003,0.25
55.6035155625317,2003,0.5
61.5203783420718,2003,0.75
68.2895101100076,2003,0.95
45.1181702025182,2004,0.05
52.5756996792253,2004,0.25
55.6035155625317,2004,0.5
61.5203783420718,2004,0.75
68.2895101100076,2004,0.95
45.1181702025182,2005,0.05
52.5756996792253,2005,0.25
55.6035155625317,2005,0.5
61.5203783420718,2005,0.75
68.2895101100076,2005,0.95
45.1181702025182,2006,0.05
52.5756996792253,2006,0.25
55.6035155625317,2006,0.5
61.5203783420718,2006,0.75
68.2895101100076,2006,0.95
45.1181702025182,2007,0.05
52.5756996792253,2007,0.25
55.6035155625317,2007,0.5
61.5203783420718,2007,0.75
68.2895101100076,2007,0.95
45.1181702025182,2008,0.05
52.5756996792253,2008,0.25
55.6035155625317,2008,0.5
61.5203783420718,2008,0.75
68.2895101100076,2008,0.95
45.1181702025182,2009,0.05
52.5756996792253,2009,0.25
55.6035155625317,2009,0.5
61.5203783420718,2009,0.75
68.2895101100076,2009,0.95
45.1181702025182,2010,0.05
52.5756996792253,2010,0.25
55.6035155625317,2010,0.5
61.5203783420718,2010,0.75
68.2895101100076,2010,0.95
45.1181702025182,2011,0.05
52.5756996792253,2011,0.25
55.6035155625317,2011,0.5
61.5203783420718,2011,0.75
68.2895101100076,2011,0.95
45.1181702025182,2012,0.05
52.5756996792253,2012,0.25
55.6035155625317,2012,0.5
61.5203783420718,2012,0.75
68.2895101100076,2012,0.95
45.1181702025182,2013,0.05
52.5756996792253,2013,0.25
55.6035155625317,2013,0.5
61.5203783420718,2013,0.75
68.2895101100076,2013,0.95
45.1181702025182,2014,0.05
52.5756996792253,2014,0.25
55.6035155625317,2014,0.5
61.5203783420718,2014,0.75
68.2895101100076,2014,0.95
45.1181702025182,2015,0.05
52.5756996792253,2015,0.25
55.6035155625317,2015,0.5
61.5203783420718,2015,0.75
68.2895101100076,2015,0.95
45.1181702025182,2016,0.05
52.5756996792253,2016,0.25
55.6035155625317,2016,0.5
61.5203783420718,2016,0.75
68.2895101100076,2016,0.95
45.1181702025182,2017,0.05
52.5756996792253,2017,0.25
55.6035155625317,2017,0.5
61.5203783420718,2017,0.75
68.2895101100076,2017,0.95
45.1181702025182,2018,0.05
52.5756996792253,2018,0.25
55.6035155625317,2018,0.5
61.5203783420718,2018,0.75
68.2895101100076,2018,0.95
45.1181702025182,2019,0.05
52.5756996792253,2019,0.25
55.6035155625317,2019,0.5
61.5203783420718,2019,0.75
68.2895101100076,2019,0.95
45.1181702025182,2020,0.05
52.5756996792253,2020,0.25
55.6035155625317,2020,0.5
61.5203783420718,2020,0.75
68.2895101100076,2020,0.95
45.1181702025182,2021,0.05
52.5756996792253,2021,0.25
55.6035155625317,2021,0.5
61.5203783420718,2021,0.75
68.2895101100076,2021,0.95
45.1181702025182,2022,0.05
52.5756996792253,2022,0.25
55.6035155625317,2022,0.5
61.5203783420718,2022,0.75
68.2895101100076,2022,0.95
45.1181702025182,2023,0.05
52.5756996792253,2023,0.25
55.6035155625317,2023,0.5
61.5203783420718,2023,0.75
68.2895101100076,2023,0.95
