"outcome","input","quant"
3.10694345715525e-10,-0.458113888888883,0.05
7.93059959871535e-09,-0.458113888888883,0.25
7.84096294772338e-08,-0.458113888888883,0.5
8.46156721487508e-07,-0.458113888888883,0.75
4.35953451934463e-05,-0.458113888888883,0.95
7.55001592954172e-11,1.85311338734568,0.05
2.33312791075776e-09,1.85311338734568,0.25
2.5217756194593e-08,1.85311338734568,0.5
3.07733270395725e-07,1.85311338734568,0.75
1.55583075380929e-05,1.85311338734568,0.95
1.02651538335388e-10,4.16434066358025,0.05
2.58458548771147e-09,4.16434066358025,0.25
2.74699581302513e-08,4.16434066358025,0.5
3.44008339380225e-07,4.16434066358025,0.75
1.75800590388314e-05,4.16434066358025,0.95
6.22157171874056e-11,6.47556793981482,0.05
1.59957868314589e-09,6.47556793981482,0.25
1.6666049150669e-08,6.47556793981482,0.5
1.89382268558655e-07,6.47556793981482,0.75
6.92078014213221e-06,6.47556793981482,0.95
2.78150106537775e-11,8.78679521604939,0.05
8.94495667387152e-10,8.78679521604939,0.25
1.03452893145634e-08,8.78679521604939,0.5
1.31964523140739e-07,8.78679521604939,0.75
6.51091810402436e-06,8.78679521604939,0.95
6.89559773837945e-11,11.098022492284,0.05
2.26633709468069e-09,11.098022492284,0.25
2.56954777498171e-08,11.098022492284,0.5
3.2200562331527e-07,11.098022492284,0.75
1.22818703919918e-05,11.098022492284,0.95
3.75212609009343e-11,13.4092497685185,0.05
1.15482881455253e-09,13.4092497685185,0.25
1.26391723404872e-08,13.4092497685185,0.5
1.45907799818281e-07,13.4092497685185,0.75
5.54392929178556e-06,13.4092497685185,0.95
6.35902929912458e-11,15.7204770447531,0.05
1.82397670349893e-09,15.7204770447531,0.25
1.90641584513936e-08,15.7204770447531,0.5
2.0473053285011e-07,15.7204770447531,0.75
6.32086882524915e-06,15.7204770447531,0.95
6.38832226449225e-11,18.0317043209877,0.05
1.82282119204099e-09,18.0317043209877,0.25
1.89353101902264e-08,18.0317043209877,0.5
2.00019128882733e-07,18.0317043209877,0.75
5.96184772959908e-06,18.0317043209877,0.95
9.28015069311041e-11,20.3429315972222,0.05
2.63236468142116e-09,20.3429315972222,0.25
2.72472982864902e-08,20.3429315972222,0.5
2.84997714792611e-07,20.3429315972222,0.75
8.5159826763287e-06,20.3429315972222,0.95
