"outcome","input","quant"
2.13831577582676e-11,1,0.05
6.34714423088834e-10,1,0.25
7.05719652739657e-09,1,0.5
7.32486744874794e-08,1,0.75
1.72532492877086e-06,1,0.95
2.1109515904647e-11,2,0.05
6.25574555847465e-10,2,0.25
6.95169154392535e-09,2,0.5
7.198341488263e-08,2,0.75
1.68639453595669e-06,2,0.95
2.1477379493861e-11,3,0.05
6.35535988967179e-10,3,0.25
7.04612604073811e-09,3,0.5
7.28389460542673e-08,3,0.75
1.70068392387853e-06,3,0.95
2.14406976952962e-11,4,0.05
6.34211777723041e-10,4,0.25
7.03241827222715e-09,4,0.5
7.26537340905452e-08,4,0.75
1.69530926432882e-06,4,0.95
2.16987624016735e-11,5,0.05
6.41195084787862e-10,5,0.25
7.10355101823438e-09,5,0.5
7.33668244804874e-08,5,0.75
1.71009819198771e-06,5,0.95
2.16225372744129e-11,6,0.05
6.39875723670603e-10,6,0.25
7.09922815072268e-09,6,0.5
7.35709558202381e-08,6,0.75
1.72200820757343e-06,6,0.95
2.16136629540858e-11,7,0.05
6.41208114074689e-10,7,0.25
7.11063493441178e-09,7,0.5
7.37478006844766e-08,7,0.75
1.72623636145066e-06,7,0.95
4.53853645539563e-11,8,0.05
1.34869773953062e-09,8,0.25
1.49924747032315e-08,8,0.5
1.56643915696373e-07,8,0.75
3.70318377367453e-06,8,0.95
4.55050080429863e-11,9,0.05
1.35342424489473e-09,9,0.25
1.50529175049419e-08,9,0.5
1.57524848951813e-07,9,0.75
3.728949467592e-06,9,0.95
4.56723925397584e-11,10,0.05
1.35997572051972e-09,10,0.25
1.51213176295481e-08,10,0.5
1.58365944839536e-07,10,0.75
3.75319778226487e-06,10,0.95
4.5790836293709e-11,11,0.05
1.36442924732978e-09,11,0.25
1.51744263277227e-08,11,0.5
1.59050401431507e-07,11,0.75
3.77471764128557e-06,11,0.95
4.62298302022733e-11,12,0.05
1.37822180293682e-09,12,0.25
1.53337492383426e-08,12,0.5
1.60747915825847e-07,12,0.75
3.81249184302563e-06,12,0.95
4.57239173175387e-11,13,0.05
1.36553290531214e-09,13,0.25
1.52020634016364e-08,13,0.5
1.59525022313615e-07,13,0.75
