"outcome","input","quant"
1.92489302172184e-08,1,0.05
2.10626507613826e-07,1,0.25
1.33332456811802e-06,1,0.5
1.11602225022466e-05,1,0.75
0.000312861417719013,1,0.95
6.56719040965966e-08,2,0.05
6.16767419326874e-07,2,0.25
3.18623665492961e-06,2,0.5
1.93959903385623e-05,2,0.75
0.000368708022162431,2,0.95
5.019547859858e-08,3,0.05
4.26160348702226e-07,3,0.25
1.9370829812723e-06,3,0.5
9.70500570895109e-06,3,0.75
0.000146134277028921,3,0.95
3.6478580973978e-08,4,0.05
3.05627151699359e-07,4,0.25
1.3805633239135e-06,4,0.5
6.88311782986584e-06,4,0.75
0.000103790906860895,4,0.95
5.28400619685457e-08,5,0.05
4.34233331290335e-07,5,0.25
1.8690300803181e-06,5,0.5
8.32713794048824e-06,5,0.75
9.12910621640306e-05,5,0.95
1.44614110338852e-08,6,0.05
1.13510250582388e-07,6,0.25
4.83926290862679e-07,6,0.5
2.15491568779868e-06,6,0.75
2.21374242367516e-05,6,0.95
1.53034314906707e-08,7,0.05
1.20517016300732e-07,7,0.25
5.14977006740665e-07,7,0.5
2.29675490566258e-06,7,0.75
2.36770129598851e-05,7,0.95
1.17485576822332e-08,8,0.05
9.25412528013814e-08,8,0.25
3.94514958394688e-07,8,0.5
1.75203246901737e-06,8,0.75
1.8082834377651e-05,8,0.95
1.13138456290095e-08,9,0.05
8.91275604055501e-08,9,0.25
3.80550017837928e-07,9,0.5
1.6896688393082e-06,9,0.75
1.73685202019277e-05,9,0.95
1.14090620819843e-08,10,0.05
8.96467030263716e-08,10,0.25
3.82332439506081e-07,10,0.5
1.69589695569524e-06,10,0.75
1.74442326362406e-05,10,0.95
1.14553100166738e-08,11,0.05
9.00461092822794e-08,11,0.25
3.8373144170062e-07,11,0.5
1.70159439917566e-06,11,0.75
1.75053187302001e-05,11,0.95
1.16187708187469e-08,12,0.05
9.10709305126185e-08,12,0.25
3.87525373479115e-07,12,0.5
1.71639900061066e-06,12,0.75
1.76382870136775e-05,12,0.95
1.15656079334484e-08,13,0.05
9.04504849940563e-08,13,0.25
3.84020871623647e-07,13,0.5
1.69773360570595e-06,13,0.75
1.74494403767858e-05,13,0.95
1.15761803168106e-08,14,0.05
9.05733182182934e-08,14,0.25
3.84369668321275e-07,14,0.5
1.6992507377668e-06,14,0.75
1.74675226550515e-05,14,0.95
1.1626365808669e-08,15,0.05
9.09414907474179e-08,15,0.25
3.86018026830424e-07,15,0.5
1.70541315537537e-06,15,0.75
1.7493865186089e-05,15,0.95
1.16880980694749e-08,16,0.05
9.15228583543679e-08,16,0.25
3.88483089858109e-07,16,0.5
1.71747489966244e-06,16,0.75
1.76347026274423e-05,16,0.95
1.16830902982818e-08,17,0.05
9.14924798142775e-08,17,0.25
3.88460800781226e-07,17,0.5
1.71757932051081e-06,17,0.75
1.76399372255193e-05,17,0.95
1.50393049092861e-08,18,0.05
1.17852454921646e-07,18,0.25
5.00469296796541e-07,18,0.5
2.21355578713941e-06,18,0.75
2.27474096841855e-05,18,0.95
1.42747952261663e-08,19,0.05
1.11795365278587e-07,19,0.25
4.74547619168546e-07,19,0.5
2.09943641825042e-06,19,0.75
2.15996979090009e-05,19,0.95
1.42603753947614e-08,20,0.05
1.11614901330753e-07,20,0.25
4.73410520272609e-07,20,0.5
2.09286441529608e-06,20,0.75
2.15541518836198e-05,20,0.95
9.48963146136446e-09,21,0.05
7.72124799086958e-08,21,0.25
3.38010958733032e-07,21,0.5
1.56251955700505e-06,21,0.75
1.81880365963165e-05,21,0.95
9.52261282661964e-09,22,0.05
7.7395424931969e-08,22,0.25
3.38737823965374e-07,22,0.5
1.565339348914e-06,22,0.75
1.82254636978674e-05,22,0.95
8.49494440486827e-09,23,0.05
7.02422634759339e-08,23,0.25
3.11738974665617e-07,23,0.5
1.45207631059644e-06,23,0.75
1.67529712483368e-05,23,0.95
8.53895674227621e-09,24,0.05
7.06215465011427e-08,24,0.25
3.13446731065011e-07,24,0.5
1.45997175299009e-06,24,0.75
1.68108334688407e-05,24,0.95
8.54453410342878e-09,25,0.05
7.06720234941318e-08,25,0.25
3.13702213426722e-07,25,0.5
1.46115580306994e-06,25,0.75
1.68259349612401e-05,25,0.95
8.5027076656163e-09,26,0.05
7.03969745769735e-08,26,0.25
3.1281926936118e-07,26,0.5
1.45843107672191e-06,26,0.75
1.68308169602649e-05,26,0.95
8.4996484558017e-09,27,0.05
7.03315854497559e-08,27,0.25
3.1234507190338e-07,27,0.5
1.4561717353264e-06,27,0.75
1.68034956950781e-05,27,0.95
8.51309915915423e-09,28,0.05
7.04416456789044e-08,28,0.25
3.12828348761989e-07,28,0.5
1.45816075165383e-06,28,0.75
1.68360820096536e-05,28,0.95
8.49112639674991e-09,29,0.05
7.03892963611966e-08,29,0.25
3.13067350703424e-07,29,0.5
1.45992041767896e-06,29,0.75
1.68511384233168e-05,29,0.95
8.51176802794852e-09,30,0.05
7.07479143155604e-08,30,0.25
3.1523289487934e-07,30,0.5
1.47229252037226e-06,30,0.75
1.70005626390814e-05,30,0.95
8.51114165462119e-09,31,0.05
7.07422200102026e-08,31,0.25
3.15185342932144e-07,31,0.5
1.47215887515142e-06,31,0.75
1.70001026246461e-05,31,0.95
8.48095672822722e-09,32,0.05
7.06817045261924e-08,32,0.25
3.15151549031787e-07,32,0.5
1.47248172043738e-06,32,0.75
1.69915340152714e-05,32,0.95
8.48484128793698e-09,33,0.05
7.07455253104294e-08,33,0.25
3.15485353917335e-07,33,0.5
1.4743560805848e-06,33,0.75
1.70344641641752e-05,33,0.95
8.48484128793698e-09,34,0.05
7.07455253104294e-08,34,0.25
3.15485353917335e-07,34,0.5
1.4743560805848e-06,34,0.75
1.70344641641752e-05,34,0.95
8.45980445557879e-09,35,0.05
7.05793559883456e-08,35,0.25
3.14882368334837e-07,35,0.5
1.47202498958114e-06,35,0.75
1.70016374284164e-05,35,0.95
8.51487205500142e-09,36,0.05
7.1163749222179e-08,36,0.25
3.17948886498715e-07,36,0.5
1.48852669518884e-06,36,0.75
1.72095553708139e-05,36,0.95
8.50806280518004e-09,37,0.05
7.10856354548855e-08,37,0.25
3.1762818466184e-07,37,0.5
1.4868644817655e-06,37,0.75
1.71977211779728e-05,37,0.95
8.50587800890536e-09,38,0.05
7.10621815259264e-08,38,0.25
3.17540614736371e-07,38,0.5
1.48642163090835e-06,38,0.75
1.71939936774346e-05,38,0.95
8.4760100711004e-09,39,0.05
7.08794590082451e-08,39,0.25
3.16766264096321e-07,39,0.5
1.48344162030274e-06,39,0.75
1.71691652222064e-05,39,0.95
6.60465124901267e-09,40,0.05
5.5236499690906e-08,40,0.25
2.46842384513359e-07,40,0.5
1.15603435447336e-06,40,0.75
1.33802675715283e-05,40,0.95
