"outcome","input","quant"
1.28068769208708e-07,1,0.05
7.45587370848574e-07,1,0.25
2.64036950431826e-06,1,0.5
9.53808186712014e-06,1,0.75
6.18923840570658e-05,1,0.95
1.27753208209407e-07,2,0.05
7.39481137421828e-07,2,0.25
2.59755351435276e-06,2,0.5
9.31056015829595e-06,2,0.75
6.00476234779634e-05,2,0.95
9.03386721592557e-08,3,0.05
5.38441411669666e-07,3,0.25
1.93931867172458e-06,3,0.5
7.06088365391706e-06,3,0.75
4.61746100998399e-05,3,0.95
8.97281758238441e-08,4,0.05
5.36817501040779e-07,4,0.25
1.93618654297209e-06,4,0.5
7.05492645805855e-06,4,0.75
4.61563222786018e-05,4,0.95
9.11260461520324e-08,5,0.05
5.42720479916291e-07,5,0.25
1.9543064755936e-06,5,0.5
7.11498841498965e-06,5,0.75
4.65578207038618e-05,5,0.95
9.63058687236436e-08,6,0.05
5.90811031681262e-07,6,0.25
2.18463383498657e-06,6,0.5
8.13748689658124e-06,6,0.75
5.34459671347214e-05,6,0.95
1.0602462283088e-07,7,0.05
6.21291121183269e-07,7,0.25
2.20225235275172e-06,7,0.5
7.78739660354865e-06,7,0.75
4.79437670492441e-05,7,0.95
6.90807847923789e-08,8,0.05
4.13313047048153e-07,8,0.25
1.46418471299928e-06,8,0.5
5.06477393985988e-06,8,0.75
3.11462943739149e-05,8,0.95
6.92838908804953e-08,9,0.05
4.14770997609951e-07,9,0.25
1.47060978424756e-06,9,0.5
5.08966118050976e-06,9,0.75
3.13147518682797e-05,9,0.95
6.94898431979012e-08,10,0.05
4.16317044786269e-07,10,0.25
1.47889541258231e-06,10,0.5
5.12342518314148e-06,10,0.75
3.15325125928095e-05,10,0.95
6.96852577922202e-08,11,0.05
4.17866456211134e-07,11,0.25
1.48498933884393e-06,11,0.5
5.14358175646217e-06,11,0.75
3.1656716896566e-05,11,0.95
7.05546717964993e-08,12,0.05
4.22264086497154e-07,12,0.25
1.5000969453248e-06,12,0.5
5.19327317802802e-06,12,0.75
3.195309349304e-05,12,0.95
6.96166582947054e-08,13,0.05
4.17463227971528e-07,13,0.25
1.48773860695644e-06,13,0.5
5.16334354328545e-06,13,0.75
3.18299129028792e-05,13,0.95
1.70948991817033e-07,14,0.05
9.49689704490232e-07,14,0.25
3.19105325210033e-06,14,0.5
1.04536978387361e-05,14,0.75
5.36603985878535e-05,14,0.95
1.71705298038359e-07,15,0.05
9.54090764082942e-07,15,0.25
3.20397961472829e-06,15,0.5
1.04833799410562e-05,15,0.75
5.37796123396742e-05,15,0.95
1.75175056323539e-07,16,0.05
9.92638622722913e-07,16,0.25
3.3612814844391e-06,16,0.5
1.10040110873967e-05,16,0.75
5.6807944704245e-05,16,0.95
1.74942229821553e-07,17,0.05
9.92188391003589e-07,17,0.25
3.36146331789816e-06,17,0.5
1.10088485412464e-05,17,0.75
5.68587255804923e-05,17,0.95
1.7507483187056e-07,18,0.05
9.93831430739508e-07,18,0.25
3.36902283839405e-06,18,0.5
1.1040876797673e-05,18,0.75
5.70467546824163e-05,18,0.95
1.7587840828494e-07,19,0.05
9.98454270393984e-07,19,0.25
3.38767210019326e-06,19,0.5
1.11112978883503e-05,19,0.75
5.74356065193927e-05,19,0.95
1.70928712769782e-07,20,0.05
9.64883356101015e-07,20,0.25
3.26437549327006e-06,20,0.5
1.06669210082036e-05,20,0.75
5.45916264388047e-05,20,0.95
1.71160396184015e-07,21,0.05
9.66314524472331e-07,21,0.25
3.26963561959507e-06,21,0.5
1.06823147758062e-05,21,0.75
5.46689875942351e-05,21,0.95
1.71763322204141e-07,22,0.05
9.68675007953602e-07,22,0.25
3.2752023910451e-06,22,0.5
1.07041185337949e-05,22,0.75
5.47902708718556e-05,22,0.95
1.73533281228796e-07,23,0.05
9.78181598673046e-07,23,0.25
3.30854365168661e-06,23,0.5
1.08115412801373e-05,23,0.75
5.53364270274875e-05,23,0.95
1.74706027092508e-07,24,0.05
9.84412693845428e-07,24,0.25
3.32564198034156e-06,24,0.5
1.08554206932256e-05,24,0.75
5.5498346782015e-05,24,0.95
1.74819528492243e-07,25,0.05
9.85004249126493e-07,25,0.25
3.32827485370869e-06,25,0.5
1.0864213872936e-05,25,0.75
5.55480668384627e-05,25,0.95
1.73582836497532e-07,26,0.05
9.79974117234531e-07,26,0.25
3.32009247522769e-06,26,0.5
1.08637676730451e-05,26,0.75
5.56217043551828e-05,26,0.95
1.72743805506327e-07,27,0.05
9.77065950104242e-07,27,0.25
3.31672113603514e-06,27,0.5
1.08687779026698e-05,27,0.75
5.57110665644138e-05,27,0.95
1.62460085741775e-07,28,0.05
8.52550152490363e-07,28,0.25
2.66727099797322e-06,28,0.5
7.9973885279176e-06,28,0.75
3.73672501723404e-05,28,0.95
1.6234405821895e-07,29,0.05
8.52235329757838e-07,29,0.25
2.66773709288877e-06,29,0.5
8.00193065403023e-06,29,0.75
3.73713414375172e-05,29,0.95
1.60768026260203e-07,30,0.05
8.43975724293973e-07,30,0.25
2.64309415483367e-06,30,0.5
7.93239911454133e-06,30,0.75
3.70561956038712e-05,30,0.95
1.60725947509729e-07,31,0.05
8.43869069815308e-07,31,0.25
2.64277982243142e-06,31,0.5
7.93209747085172e-06,31,0.75
3.70558825564863e-05,31,0.95
1.60274458048377e-07,32,0.05
8.43281166668099e-07,32,0.25
2.64187987983688e-06,32,0.5
7.93017025597744e-06,32,0.75
3.70106009292095e-05,32,0.95
1.60040574487092e-07,33,0.05
8.43166776649476e-07,33,0.25
2.64484758698944e-06,33,0.5
7.94908633166631e-06,33,0.75
3.71459237945779e-05,33,0.95
1.60040574487092e-07,34,0.05
8.43166776649476e-07,34,0.25
2.64484758698944e-06,34,0.5
7.94908633166631e-06,34,0.75
3.71459237945779e-05,34,0.95
1.59599046237056e-07,35,0.05
8.41404284713268e-07,35,0.25
2.63920697507145e-06,35,0.5
7.93292460442826e-06,35,0.75
3.70757539806643e-05,35,0.95
1.61207059159752e-07,36,0.05
8.496122936882e-07,36,0.25
2.66518058319543e-06,36,0.5
8.01196173129306e-06,36,0.75
3.7416981796164e-05,36,0.95
1.60914056733514e-07,37,0.05
8.4841316387574e-07,37,0.25
2.66268984239401e-06,37,0.5
8.00846201687349e-06,37,0.75
3.74150740375681e-05,37,0.95
1.60906381160463e-07,38,0.05
8.48284560937967e-07,38,0.25
2.66201551361081e-06,38,0.5
8.00545905449135e-06,38,0.75
3.73980783679748e-05,38,0.95
1.60315971105014e-07,39,0.05
