"outcome","input","quant"
0.00263252040173513,1,0.05
0.00851358682082846,1,0.25
0.0184198091273351,1,0.5
0.037746512447265,1,0.75
0.119668236015711,1,0.95
0.00264851380022633,2,0.05
0.00841897641942922,2,0.25
0.018172786163788,2,0.5
0.0375906801078185,2,0.75
0.117989070188272,2,0.95
0.00274889314463674,3,0.05
0.00869077859232124,3,0.25
0.0187596247924474,3,0.5
0.0388356867311524,3,0.75
0.121762114920073,3,0.95
0.00273553991140914,4,0.05
0.00867216784471423,4,0.25
0.0187377040722251,4,0.5
0.0387667784755314,4,0.75
0.121549509952211,4,0.95
0.00278033260491128,5,0.05
0.0087623246196872,5,0.25
0.0189065090569957,5,0.5
0.0391346921565953,5,0.75
0.122463780131722,5,0.95
0.00315891735057131,6,0.05
0.00993199450771194,6,0.25
0.0213082751156332,6,0.5
0.0455652272922023,6,0.75
0.133703604434129,6,0.95
0.00342731371224911,7,0.05
0.0114789698013022,7,0.25
0.0255410532199383,7,0.5
0.053777974755659,7,0.75
0.159001833247368,7,0.95
0.00362390235459477,8,0.05
0.012514881297484,8,0.25
0.0283286085438416,8,0.5
0.0588801695915571,8,0.75
0.172614631690019,8,0.95
0.00373781402766165,9,0.05
0.0128992509263033,9,0.25
0.0292347903093541,9,0.5
0.0608227428268365,9,0.75
0.177379688472187,9,0.95
0.00380537968074462,10,0.05
0.0133215174031667,10,0.25
0.0305420936044614,10,0.5
0.0638175158377626,10,0.75
0.186648653784605,10,0.95
0.00386604927787826,11,0.05
0.0136030738397505,11,0.25
0.0311626745423073,11,0.5
0.0650948911778876,11,0.75
0.190058756964309,11,0.95
0.00389471726528861,12,0.05
0.013721873491458,12,0.25
0.0315130455854234,12,0.5
0.0658605220641194,12,0.75
0.192151977334252,12,0.95
0.0040221178696068,13,0.05
0.0143194194715383,13,0.25
0.0332746184785163,13,0.5
0.0701524405206438,13,0.75
0.20573815941672,13,0.95
0.00418405743069059,14,0.05
0.0149436365457025,14,0.25
0.034769827385324,14,0.5
0.0732438777355739,14,0.75
0.213581844808064,14,0.95
0.0042243624783577,15,0.05
0.0150108473768876,15,0.25
0.0348465044411184,15,0.5
0.0735357942603444,15,0.75
0.213626162677342,15,0.95
0.00386647529695944,16,0.05
0.0136054194639952,16,0.25
0.0314164152235496,16,0.5
0.0666748619725761,16,0.75
0.19486141106367,16,0.95
0.00381535918011208,17,0.05
0.0134412171952674,17,0.25
0.0310003892055512,17,0.5
0.0659130346427236,17,0.75
0.193364529709208,17,0.95
0.0037784957286803,18,0.05
0.0131751700805,18,0.25
0.0305246629998209,18,0.5
0.0653532816924245,18,0.75
0.189810912369551,18,0.95
0.00377919564584672,19,0.05
0.0131140169293914,19,0.25
0.0303847974505876,19,0.5
0.0654488740688146,19,0.75
0.190044322954952,19,0.95
0.00373364253434351,20,0.05
0.0128754464279136,20,0.25
0.029701620614416,20,0.5
0.0642667876373346,20,0.75
0.185941378858436,20,0.95
0.00365766876876062,21,0.05
0.0126416552914993,21,0.25
0.029228176672758,21,0.5
0.0637415710867183,21,0.75
0.18623819320259,21,0.95
0.00363567155393808,22,0.05
0.0119474131547499,22,0.25
0.0276963176953031,22,0.5
0.0620474453624801,22,0.75
0.18507145662546,22,0.95
0.00363694356980435,23,0.05
0.0118980619709957,23,0.25
0.0276348313326624,23,0.5
0.0620047594765582,23,0.75
0.184769730996799,23,0.95
0.00368286009470161,24,0.05
0.0119483450433253,24,0.25
0.0277319713864307,24,0.5
0.0622917447481769,24,0.75
0.185105907036165,24,0.95
0.00368418242770121,25,0.05
0.0119572722119384,25,0.25
0.0277587480945624,25,0.5
0.0623285714100631,25,0.75
0.185322074166204,25,0.95
0.00366772723591174,26,0.05
0.0118978433921278,26,0.25
0.0277332374586316,26,0.5
0.0622167965064116,26,0.75
0.184994606985474,26,0.95
0.00391064904548099,27,0.05
0.0123452922466527,27,0.25
0.0285994298447767,27,0.5
0.0648041190206108,27,0.75
0.190107279929351,27,0.95
0.003911788881479,28,0.05
0.0123600115638792,28,0.25
0.0286557078077218,28,0.5
0.0649513621055205,28,0.75
0.19043784167997,28,0.95
0.00375564527931663,29,0.05
0.0117392787782554,29,0.25
0.0274679245698083,29,0.5
0.0637331403458757,29,0.75
0.190024949129635,29,0.95
0.00365865482202357,30,0.05
0.0110473815431028,30,0.25
0.025735034845702,30,0.5
0.0604416791440742,30,0.75
0.178984569812185,30,0.95
0.00365677568897749,31,0.05
0.0110462299876236,31,0.25
0.0257358287076105,31,0.5
0.0604346223843925,31,0.75
0.178988061457056,31,0.95
0.00365114808474663,32,0.05
0.0110254630928553,32,0.25
0.0257149889724752,32,0.5
0.0604758770253605,32,0.75
0.179057104681901,32,0.95
0.00344903590937469,33,0.05
0.0100629206874836,33,0.25
0.0235112964243133,33,0.5
0.0564978264231682,33,0.75
0.169467963034782,33,0.95
0.00344903590937469,34,0.05
0.0100629206874836,34,0.25
0.0235112964243133,34,0.5
0.0564978264231682,34,0.75
0.169467963034782,34,0.95
0.00343006360795067,35,0.05
0.00999844529812486,35,0.25
0.0233313364605827,35,0.5
0.0558761426472892,35,0.75
0.166799170415447,35,0.95
0.00330321838893182,36,0.05
0.0095904974967535,36,0.25
0.0224027354637629,36,0.5
0.0539520789495361,36,0.75
0.161941978592695,36,0.95
0.00329794018968288,37,0.05
0.00958082003650087,37,0.25
0.022396121662556,37,0.5
0.053891045089703,37,0.75
0.161702877574002,37,0.95
0.0032944777092588,38,0.05
0.00958075079101848,38,0.25
0.0223911869355511,38,0.5
0.0538697138025138,38,0.75
0.16166839576402,38,0.95
0.00328273036294133,39,0.05
0.00955252069660254,39,0.25
0.0223367421784836,39,0.5
0.0537466656467421,39,0.75
0.161486542695284,39,0.95
0.00331396003000254,40,0.05
0.00960683765672556,40,0.25
0.0224360808230019,40,0.5
0.0540964517741627,40,0.75
0.162011284791285,40,0.95
0.00331395696478171,41,0.05
0.00960683739276725,41,0.25
0.0224360761241273,41,0.5
0.0540964517741627,41,0.75
0.162011172871633,41,0.95
0.00335785770546503,42,0.05
0.00965208710128178,42,0.25
0.0225286113487168,42,0.5
0.0544950291280643,42,0.75
0.162768117143807,42,0.95
0.00336445711854838,43,0.05
0.00962045557072887,43,0.25
0.0224685246841277,43,0.5
0.0545211566079483,43,0.75
0.162850820543041,43,0.95
