"outcome","input","quant"
0.259633746083624,1,0.05
0.398489702421072,1,0.25
0.503221799961388,1,0.5
0.611506108164078,1,0.75
0.773803493766906,1,0.95
0.256508638189455,2,0.05
0.386947857447624,2,0.25
0.486577278526917,2,0.5
0.593863501185719,2,0.75
0.762379778901648,2,0.95
0.262650256932209,3,0.05
0.390320586401423,3,0.25
0.487651187217709,3,0.5
0.59406662538761,3,0.75
0.763741643217327,3,0.95
0.261556698195491,4,0.05
0.389347968812738,4,0.25
0.486763759114579,4,0.5
0.593069926571879,4,0.75
0.762073713682046,4,0.95
0.264114771409569,5,0.05
0.391315360507153,5,0.25
0.488564704385871,5,0.5
0.594879107076114,5,0.75
0.763450372712986,5,0.95
0.264101011385295,6,0.05
0.394080335174865,6,0.25
0.493075068693325,6,0.5
0.599767553836329,6,0.75
0.766769608210589,6,0.95
0.263114916013791,7,0.05
0.394068854908709,7,0.25
0.494661592770043,7,0.5
0.602554149175102,7,0.75
0.767887563037474,7,0.95
0.274007759321462,8,0.05
0.41492267577866,8,0.25
0.522471716032345,8,0.5
0.630786457300801,8,0.75
0.788247477859108,8,0.95
0.274888454041615,9,0.05
0.416933860772169,9,0.25
0.525192572653408,9,0.5
0.633520094176848,9,0.75
0.789984948266811,9,0.95
0.275391174654985,10,0.05
0.41860451171636,10,0.25
0.528614431216099,10,0.5
0.638350579604291,10,0.75
0.793352676727956,10,0.95
0.275623136518268,11,0.05
0.419800573094588,11,0.25
0.531098213105087,11,0.5
0.641964895347257,11,0.75
0.796097272184682,11,0.95
0.279013994508805,12,0.05
0.424592520270021,12,0.25
0.537025047610549,12,0.5
0.647953710318433,12,0.75
0.801224645354249,12,0.95
0.273743309847236,13,0.05
0.419496097311896,13,0.25
0.533020261519222,13,0.5
0.645648320591527,13,0.75
0.799630259446859,13,0.95
0.273311447543385,14,0.05
0.4197328631039,14,0.25
0.533880791840553,14,0.5
0.647064365063778,14,0.75
0.800425416872297,14,0.95
0.271516669342702,15,0.05
0.415797353178219,15,0.25
0.529458279354385,15,0.5
0.643025906971867,15,0.75
0.797418310030437,15,0.95
0.27407458480866,16,0.05
0.419169758167233,16,0.25
0.533068965515307,16,0.5
0.646377676947422,16,0.75
0.799523795894441,16,0.95
0.273922840977842,17,0.05
0.419027756898447,17,0.25
0.533062194853936,17,0.5
0.646552592068823,17,0.75
0.79977668514304,17,0.95
0.274680479996797,18,0.05
0.419978119037331,18,0.25
0.5343267072657,18,0.5
0.648080981663102,18,0.75
0.800788857549992,18,0.95
0.275816301569616,19,0.05
0.421908063600529,19,0.25
0.537486546938114,19,0.5
0.652467936596216,19,0.75
0.805271146890267,19,0.95
0.273979275117492,20,0.05
0.420525896052527,20,0.25
0.536870374871238,20,0.5
0.652341285658123,20,0.75
0.805143434555132,20,0.95
0.274316156108876,21,0.05
0.421173575197754,21,0.25
0.537779640196016,21,0.5
0.653410779048273,21,0.75
0.805748560137321,21,0.95
0.27318943597118,22,0.05
0.420472524071158,22,0.25
0.537412808958006,22,0.5
0.653370862125557,22,0.75
0.805397194524303,22,0.95
0.267471831137833,23,0.05
0.4149236575436,23,0.25
0.532944315154503,23,0.5
0.650248114222489,23,0.75
0.804336484370416,23,0.95
0.26468886322648,24,0.05
0.411777229815106,24,0.25
0.53047494462221,24,0.5
0.648564413491238,24,0.75
0.803055579946731,24,0.95
0.26490517915828,25,0.05
0.412137170002644,25,0.25
0.530929949337849,25,0.5
0.649074045119579,25,0.75
0.803455665242753,25,0.95
0.262972080056221,26,0.05
0.410636212874295,26,0.25
0.529934198155454,26,0.5
0.648528496697805,26,0.75
0.80264711641705,26,0.95
0.260554381914757,27,0.05
0.407675458617326,27,0.25
0.527874997459687,27,0.5
0.648035807900956,27,0.75
0.802979883182195,27,0.95
0.260971669465735,28,0.05
0.408222782888029,28,0.25
0.528777226024544,28,0.5
0.649139106484877,28,0.75
0.804206701975632,28,0.95
0.254472099445014,29,0.05
0.400146796233587,29,0.25
0.52109156570944,29,0.5
0.642645531904097,29,0.75
0.801177445801665,29,0.95
0.258174108382735,30,0.05
0.403630581561466,30,0.25
0.523976272220042,30,0.5
0.644985448333325,30,0.75
0.80276390817305,30,0.95
0.258084626193337,31,0.05
0.403528280989995,31,0.25
0.523956535909661,31,0.5
0.645010620588925,31,0.75
0.802794426596268,31,0.95
0.25413565699497,32,0.05
0.399346096372464,32,0.25
0.520396055616993,32,0.5
0.642777647513088,32,0.75
0.802039437615862,32,0.95
0.255598082537286,33,0.05
0.402337718317268,33,0.25
0.523846561207463,33,0.5
0.645765039788751,33,0.75
0.804066129171901,33,0.95
0.255598082537286,34,0.05
0.402337718317268,34,0.25
0.523846561207463,34,0.5
0.645765039788751,34,0.75
0.804066129171901,34,0.95
0.255022150937049,35,0.05
0.40166729947333,35,0.25
0.522664652592568,35,0.5
0.643955146809387,35,0.75
0.802676294279572,35,0.95
0.254804219867412,36,0.05
0.401233566480091,36,0.25
0.522128447427915,36,0.5
0.643673468380735,36,0.75
0.803256535632126,36,0.95
0.25412287948402,37,0.05
0.400551290359458,37,0.25
0.521826871521451,37,0.5
0.643647298209579,37,0.75
0.80320344365692,37,0.95
0.254120053188587,38,0.05
0.400447639782935,38,0.25
0.521662970436052,38,0.5
0.643394372289009,38,0.75
0.802969101531149,38,0.95
0.253169828390415,39,0.05
0.399030667079099,39,0.25
0.52003864359525,39,0.5
0.642373554607374,39,0.75
0.802795531277169,39,0.95
0.253262773320094,40,0.05
0.399179220238072,40,0.25
0.52033730197315,40,0.5
0.642708883270006,40,0.75
0.802998110663183,40,0.95
0.253262691789559,41,0.05
0.399178327487954,41,0.25
0.520336759083133,41,0.5
0.642706962747491,41,0.75
0.802992667663136,41,0.95
0.253306412908147,42,0.05
0.39927310407002,42,0.25
0.52047361259793,42,0.5
0.64278060560318,42,0.75
0.802959733643516,42,0.95
0.247253849365635,43,0.05
0.391525318090956,43,0.25
0.513231890517224,43,0.5
0.637463215300482,43,0.75
0.800069126104997,43,0.95
0.230503941830423,44,0.05
0.37151699841379,44,0.25
0.495689222114073,44,0.5
0.626065185418138,44,0.75
0.794710422585047,44,0.95
0.230679712922718,45,0.05
0.37152075631015,45,0.25
0.495467990385789,45,0.5
0.625558049412873,45,0.75
0.794198012389048,45,0.95
0.230547046910066,46,0.05
0.371298979390026,46,0.25
0.495241690614036,46,0.5
0.625374990578514,46,0.75
0.794037244135888,46,0.95
0.229851766694884,47,0.05
0.37073144108976,47,0.25
0.494803245182144,47,0.5
0.625234077249752,47,0.75
0.794048453497138,47,0.95
0.22812877993073,48,0.05
0.368774287466561,48,0.25
0.492999822227311,48,0.5
0.623818031114372,48,0.75
0.793148149390389,48,0.95
0.227398110929168,49,0.05
0.367641306017508,49,0.25
0.491810572157281,49,0.5
0.622770342614271,49,0.75
0.792344697546986,49,0.95
0.225874756784248,50,0.05
0.366410096946812,50,0.25
0.490062617854348,50,0.5
0.620516677063278,50,0.75
0.790860345034488,50,0.95
0.225821795430542,51,0.05
0.366427753948759,51,0.25
0.49022693572433,51,0.5
0.620753734883571,51,0.75
0.790925683465282,51,0.95
0.225821795430542,52,0.05
0.366427753948759,52,0.25
0.49022693572433,52,0.5
0.620753734883571,52,0.75
0.790925683465282,52,0.95
0.224667830631897,53,0.05
0.364952084393349,53,0.25
0.488839708372566,53,0.5
0.61962037497649,53,0.75
0.790387216523537,53,0.95
0.219425742448023,54,0.05
0.359799002187084,54,0.25
0.484913201582931,54,0.5
0.617096822839897,54,0.75
0.788914491767732,54,0.95
0.218053882694732,55,0.05
0.357806983858606,55,0.25
0.48303231632988,55,0.5
0.615668213490808,55,0.75
0.78795215132484,55,0.95
0.217607621129297,56,0.05
0.357206444645392,56,0.25
0.482578241448306,56,0.5
0.61545192831528,56,0.75
0.78792819411294,56,0.95
