"outcome","input","quant"
2.56330584640079e-10,0,0.05
6.16453935606354e-09,0,0.25
5.85322692402552e-08,0,0.5
5.85538820282136e-07,0,0.75
1.84925359511785e-05,0,0.95
2.56330967447735e-10,1,0.05
6.16454210761763e-09,1,0.25
5.85314819901186e-08,1,0.5
5.85527921828249e-07,1,0.75
1.84901759133502e-05,1,0.95
2.56453950716554e-10,2,0.05
6.16788896202244e-09,2,0.25
5.85664759727429e-08,2,0.5
5.85924536200565e-07,2,0.75
1.85060200591456e-05,2,0.95
2.56454017934431e-10,3,0.05
6.16792699396718e-09,3,0.25
5.85671249502334e-08,3,0.5
5.85940244932331e-07,3,0.75
1.85059642772629e-05,3,0.95
2.56443810416704e-10,4,0.05
6.16766808915304e-09,4,0.25
5.85629346414131e-08,4,0.5
5.85840596083909e-07,4,0.75
1.85001329492461e-05,4,0.95
2.56443810416704e-10,5,0.05
6.16763802365051e-09,5,0.25
5.85627235520292e-08,5,0.5
5.85823295061312e-07,5,0.75
1.84997383499855e-05,5,0.95
2.56437426740679e-10,6,0.05
6.16732054118501e-09,6,0.25
5.85599085589156e-08,6,0.5
5.85773524894157e-07,6,0.75
1.84962860132286e-05,6,0.95
2.56431518380591e-10,7,0.05
6.16708245738876e-09,7,0.25
5.85560277241125e-08,7,0.5
5.85732437040075e-07,7,0.75
1.8496057146718e-05,7,0.95
