"outcome","input","quant"
0.00825190147513839,0,0.05
0.03203743005962,0,0.25
0.101419684804948,0,0.5
0.206866837482353,0,0.75
0.402534208900944,0,0.95
0.00825190116500162,1,0.05
0.0320378293875014,1,0.25
0.101417719109566,1,0.5
0.206856039282046,1,0.75
0.402533738475596,1,0.95
0.00825649081966796,2,0.05
0.0320605262363355,2,0.25
0.101488947962738,2,0.5
0.206973773424488,2,0.75
0.402752586554984,2,0.95
0.00825648861761564,3,0.05
0.0320605014783664,3,0.25
0.101488397486334,3,0.5
0.206980852452915,3,0.75
0.4027659185094,3,0.95
0.00825641362767133,4,0.05
0.0320597130197534,4,0.25
0.101470070454731,4,0.5
0.206936348139452,4,0.75
0.402738706063779,4,0.95
0.00825641346703639,5,0.05
0.0320596646694744,5,0.25
0.101467512523039,5,0.5
0.206931845327503,5,0.75
0.402736614824359,5,0.95
0.0082563743512411,6,0.05
0.0320587122107429,6,0.25
0.101457600288798,6,0.5
0.20691218957321,6,0.75
0.402715155981563,6,0.95
0.0082563520761002,7,0.05
0.03205845439666,7,0.25
0.101454693540212,7,0.5
0.206892837018732,7,0.75
0.402667927592141,7,0.95
