"outcome","input","quant"
0.00325663120764518,0,0.05
0.0118533977766343,0,0.25
0.0433918787629622,0,0.5
0.138441673573188,0,0.75
0.304688804973793,0,0.95
0.00325652371925508,1,0.05
0.0118529720779394,1,0.25
0.043390673111778,1,0.5
0.138442067974274,1,0.75
0.30468859013087,1,0.95
0.00325660322833952,2,0.05
0.0118617506870367,2,0.25
0.0434188171480407,2,0.5
0.138543034556545,2,0.75
0.304896252424821,2,0.95
0.00325690342432167,3,0.05
0.0118620098988839,3,0.25
0.0434188463683598,3,0.5
0.138543354259062,3,0.75
0.304896440673918,3,0.95
0.00325617986174971,4,0.05
0.011860599856851,4,0.25
0.0434116083591875,4,0.5
0.138536874385314,4,0.75
0.30489101885473,4,0.95
0.00325615275671034,5,0.05
0.0118604421283199,5,0.25
0.0434103895970734,5,0.5
0.138536603678357,5,0.75
0.304889790983151,5,0.95
0.00325564366899616,6,0.05
0.0118594279886373,6,0.25
0.0434061179275873,6,0.5
0.138531586125516,6,0.75
0.304889043416618,6,0.95
0.00325508544848864,7,0.05
0.0118589451590926,7,0.25
0.0434043608148573,7,0.5
0.138529841277464,7,0.75
0.304886921888444,7,0.95
