"outcome","input","quant"
0.00351682809625358,0,0.05
0.00751448681504622,0,0.25
0.0161665729958185,0,0.5
0.0395840988437882,0,0.75
0.108751445596959,0,0.95
0.00351679761314905,1,0.05
0.00751442590842363,1,0.25
0.0161665383287769,1,0.5
0.0395809232341452,1,0.75
0.108744198628754,1,0.95
0.00351817846925003,2,0.05
0.00751892505236561,2,0.25
0.0161768153764441,2,0.5
0.039607641407131,2,0.75
0.108849977829619,2,0.95
0.00351818880651176,3,0.05
0.00751897591280134,3,0.25
0.0161773456866951,3,0.5
0.03960807378009,3,0.75
0.108853057623254,3,0.95
0.00351804561327983,4,0.05
0.00751836511153811,4,0.25
0.016176641379692,4,0.5
0.039598803475108,4,0.75
0.108828706659687,4,0.95
0.00351802322667584,5,0.05
0.00751832295671172,5,0.25
0.0161764620606504,5,0.5
0.0395970037520397,5,0.75
0.10882568576044,5,0.95
0.0035178470170959,6,0.05
0.00751795277343464,6,0.25
0.0161758758210436,6,0.5
0.0395915255250944,6,0.75
0.108808465424868,6,0.95
0.00351769219109188,7,0.05
0.00751756102678733,7,0.25
0.0161754534238048,7,0.5
0.0395897628977404,7,0.75
0.108801634517195,7,0.95
