"outcome","input","quant"
2.53822753604975e-08,0,0.05
2.49528544021124e-07,0,0.25
1.30421274425883e-06,0,0.5
7.70744210624028e-06,0,0.75
0.000156541912988985,0,0.95
3.35163343822435e-08,1,0.05
3.30715101472412e-07,1,0.25
1.73422152090058e-06,1,0.5
1.03361203918797e-05,1,0.75
0.000213264309085625,1,0.95
5.0461505256051e-08,2,0.05
5.82402378717729e-07,2,0.25
3.83322929102284e-06,2,0.5
3.02432819539876e-05,2,0.75
0.000638907651297201,2,0.95
3.5159789847317e-08,3,0.05
4.18067373071385e-07,3,0.25
2.8411661126974e-06,3,0.5
2.36954283013513e-05,3,0.75
0.000554054352771791,3,0.95
6.64129798258648e-08,4,0.05
7.46378713607153e-07,4,0.25
4.6880139386368e-06,4,0.5
3.54724887249128e-05,4,0.75
0.000782680718520241,4,0.95
7.50279185330839e-08,5,0.05
8.14855806172434e-07,5,0.25
5.01015339483449e-06,5,0.5
3.71855961276694e-05,5,0.75
0.000815161688739241,5,0.95
1.08985682226507e-07,6,0.05
1.12319852155932e-06,6,0.25
6.75164900853011e-06,6,0.5
4.89796792575089e-05,6,0.75
0.00098449298331631,6,0.95
1.40491357896782e-07,7,0.05
1.43351895611941e-06,7,0.25
8.56299738064396e-06,7,0.5
6.25110293975256e-05,7,0.75
0.00123382117856175,7,0.95
