"outcome","input","quant"
0.00160629489391701,0,0.05
0.00653308906146994,0,0.25
0.0436315645050394,0,0.5
0.157097460725002,0,0.75
0.320764810315195,0,0.95
0.00160625064346755,1,0.05
0.00653297979752713,1,0.25
0.0436310857876026,1,0.5
0.157098327170779,1,0.75
0.320764350913884,1,0.95
0.00160637795947398,2,0.05
0.00653793261780057,2,0.25
0.0436587271699246,2,0.5
0.157210065991602,2,0.75
0.320933776627863,2,0.95
0.00160652844634008,3,0.05
0.006537940894842,3,0.25
0.0436588165290903,3,0.5
0.157209948787185,3,0.75
0.32093344327905,3,0.95
0.00160614822711393,4,0.05
0.00653717298272956,4,0.25
0.0436545931108094,4,0.5
0.157206991684312,4,0.75
0.320925444224139,4,0.95
0.00160613742282191,5,0.05
0.00653711542500282,5,0.25
0.0436539198744047,5,0.5
0.157206619458202,5,0.75
0.32092433706254,5,0.95
0.00160585394485998,6,0.05
0.00653664743268335,6,0.25
0.0436516523751086,6,0.5
0.157202937361241,6,0.75
0.320920460883552,6,0.95
0.0016055782845484,7,0.05
0.00653629607584916,7,0.25
0.0436493605713068,7,0.5
0.157200859114011,7,0.75
0.320916054303479,7,0.95
