"outcome","input","quant"
0.00353399332337226,1,0.05
0.00781135511957519,1,0.25
0.0171324096952891,1,0.5
0.0427741738467334,1,0.75
0.119479438088954,1,0.95
0.00372809019086589,2,0.05
0.00789289900296564,2,0.25
0.0167752418740965,2,0.5
0.037307001243749,2,0.75
0.101019057156379,2,0.95
0.00344416413885416,3,0.05
0.00727512201880826,3,0.25
0.0153796625593796,3,0.5
0.0339569341902416,3,0.75
0.0927851722745398,3,0.95
0.003208019798024,4,0.05
0.00705587168525226,4,0.25
0.0157374283278587,4,0.5
0.0397842564906964,4,0.75
0.112398543499392,4,0.95
0.00383490626356638,5,0.05
0.00799566071456203,5,0.25
0.0170473944173363,5,0.5
0.037911023896133,5,0.75
0.0997673593369335,5,0.95
0.00361838314010028,6,0.05
0.00757996567578567,6,0.25
0.0160828500506736,6,0.5
0.0355068334983035,6,0.75
0.095709851329324,6,0.95
0.0034020892820882,7,0.05
0.00744584726394159,7,0.25
0.0164825986641738,7,0.5
0.0414455234363044,7,0.75
0.115635803647916,7,0.95
0.00422009598548377,8,0.05
0.00864120571592705,8,0.25
0.0181059374935731,8,0.5
0.0403609908778551,8,0.75
0.105000474896677,8,0.95
0.00399644146587906,9,0.05
0.00823732445055982,9,0.25
0.0170346152402994,9,0.5
0.0372289387059911,9,0.75
0.0995908554909489,9,0.95
0.00356134935476205,10,0.05
0.00767638429850068,10,0.25
0.0169415263406293,10,0.5
0.0413082278374247,10,0.75
0.114855799204697,10,0.95
0.0036285671497904,11,0.05
0.00770999635193085,11,0.25
0.0167400596535856,11,0.5
0.0379391370019656,11,0.75
0.103036345187843,11,0.95
0.00378986086795151,12,0.05
0.00795626242262299,12,0.25
0.0169551488943576,12,0.5
0.0374664368494912,12,0.75
0.100861494801424,12,0.95
