"outcome","input","quant"
1.99461060640454e-08,1,0.05
1.87312618082865e-07,1,0.25
9.95763471206388e-07,1,0.5
6.52792914074159e-06,1,0.75
0.000150714876049472,1,0.95
1.50556469217574e-08,2,0.05
1.41216380838469e-07,2,0.25
7.49206157462625e-07,2,0.5
4.69891232404337e-06,2,0.75
0.000100047711068339,2,0.95
1.8592868917493e-08,3,0.05
1.69513502901613e-07,3,0.25
8.88421570882728e-07,3,0.5
5.70645763229051e-06,3,0.75
0.000123833668752735,3,0.95
7.22308451847616e-08,4,0.05
6.68161312889996e-07,4,0.25
3.50938463847804e-06,4,0.5
2.29556136373897e-05,4,0.75
0.000560354791642528,4,0.95
6.03243183448212e-08,5,0.05
5.66061027964088e-07,5,0.25
3.04711175303843e-06,5,0.5
2.02281105737801e-05,5,0.75
0.000489035648258076,5,0.95
4.81987142491804e-08,6,0.05
4.44958258647975e-07,6,0.25
2.3347869807049e-06,6,0.5
1.50193284883242e-05,6,0.75
0.000332863283741156,6,0.95
1.88386825795554e-08,7,0.05
1.78758951216775e-07,7,0.25
9.51833602895704e-07,7,0.5
6.18676485661762e-06,7,0.75
0.000143880009365561,7,0.95
1.30500076508564e-08,8,0.05
1.24654210393332e-07,8,0.25
6.74231000599558e-07,8,0.5
4.37887171104709e-06,8,0.75
0.000101955649445845,8,0.95
1.15208949555216e-08,9,0.05
1.0867703151618e-07,9,0.25
5.68745260510932e-07,9,0.5
3.62336641658723e-06,9,0.75
8.63247972827122e-05,9,0.95
1.95887800937634e-08,10,0.05
1.81198379869718e-07,10,0.25
9.38133437797867e-07,10,0.5
5.93537197095829e-06,10,0.75
0.000138636476784345,10,0.95
1.69276541585652e-08,11,0.05
1.59258153746176e-07,11,0.25
8.41444608411106e-07,11,0.5
5.32229538362375e-06,11,0.75
0.000118650888694555,11,0.95
9.96523383238011e-09,12,0.05
9.93332147661153e-08,12,0.25
5.46559134307607e-07,12,0.5
3.56405883973996e-06,12,0.75
9.21882292164203e-05,12,0.95
