"outcome","input","quant"
1.56784776402963e-07,1,0.05
9.23094819046017e-07,1,0.25
3.40907391886771e-06,1,0.5
1.47370826568595e-05,1,0.75
0.000232176534538428,1,0.95
2.5295944326638e-07,2,0.05
1.3434014284785e-06,2,0.25
4.71968673337317e-06,2,0.5
2.07169336634316e-05,2,0.75
0.000395566964854606,2,0.95
1.44154194391265e-07,3,0.05
8.59869855604676e-07,3,0.25
3.1112431469933e-06,3,0.5
1.35922772947588e-05,3,0.75
0.000242098865197294,3,0.95
1.13302574045278e-07,4,0.05
7.31361086429851e-07,4,0.25
2.76091764271459e-06,4,0.5
1.20329639485886e-05,4,0.75
0.000203985914415199,4,0.95
1.21958336118898e-07,5,0.05
6.8651813236974e-07,5,0.25
2.47587942961274e-06,5,0.5
1.1125877215332e-05,5,0.75
0.000211849906628361,5,0.95
1.84181575833218e-07,6,0.05
1.18797221722079e-06,6,0.25
4.62948557591598e-06,6,0.5
2.20830521345625e-05,6,0.75
0.000404731696220795,6,0.95
1.52237561166938e-07,7,0.05
9.01569996386028e-07,7,0.25
3.27962791920355e-06,7,0.5
1.38818286652881e-05,7,0.75
0.000223733116215235,7,0.95
2.10650063349922e-07,8,0.05
1.23684602674967e-06,8,0.25
4.50849349485331e-06,8,0.5
1.94695677152737e-05,8,0.75
0.000299732897738405,8,0.95
2.65983931530676e-07,9,0.05
1.50182348910765e-06,9,0.25
5.3403384092277e-06,9,0.5
2.19920091261631e-05,9,0.75
0.000345118890976724,9,0.95
1.69373346054743e-07,10,0.05
8.94301562997103e-07,10,0.25
3.07862883115786e-06,10,0.5
1.3159588314342e-05,10,0.75
0.000254051752009945,10,0.95
1.82524323246319e-07,11,0.05
1.07228106599121e-06,11,0.25
3.89427982426391e-06,11,0.5
1.6477420790705e-05,11,0.75
0.000251329268244439,11,0.95
2.00386805530499e-07,12,0.05
1.08704216983544e-06,12,0.25
3.83285275835321e-06,12,0.5
1.62375518691259e-05,12,0.75
0.000279445877517469,12,0.95
