"outcome","input","quant"
0.00446760137251542,1,0.05
0.013577346247566,1,0.25
0.0314425871575715,1,0.5
0.0779592643217732,1,0.75
0.211133787023248,1,0.95
0.00459069181018558,2,0.05
0.012809042253817,2,0.25
0.0269478303009965,2,0.5
0.0646963022546386,2,0.75
0.172078983296234,2,0.95
0.00415855840711401,3,0.05
0.0120613015874595,3,0.25
0.0254584662384365,3,0.5
0.059608552670925,3,0.75
0.156743990884369,3,0.95
0.00464130907020997,4,0.05
0.0140300241227752,4,0.25
0.0323576323522671,4,0.5
0.0799618557333268,4,0.75
0.215031743792082,4,0.95
0.00472394592214992,5,0.05
0.0135561998926528,5,0.25
0.0287229714146962,5,0.5
0.0674478786885544,5,0.75
0.177565556272891,5,0.95
0.00417550333366187,6,0.05
0.0126951160531613,6,0.25
0.0273612330692695,6,0.5
0.0630645071453751,6,0.75
0.164061037047213,6,0.95
0.00446127984503419,7,0.05
0.0136007102831982,7,0.25
0.0317516260622626,7,0.5
0.0786101402953781,7,0.75
0.212303100509395,7,0.95
0.00458357409754042,8,0.05
0.0138624991168303,8,0.25
0.0300908787693416,8,0.5
0.0687197480590666,8,0.75
0.184295547202267,8,0.95
0.00434291408102807,9,0.05
0.0132142696250554,9,0.25
0.0284501060455031,9,0.5
0.0641109731502581,9,0.75
0.166948193848876,9,0.95
0.00415406518712968,10,0.05
0.0130483144108945,10,0.25
0.0308780808846126,10,0.5
0.0756106335715087,10,0.75
0.206029096544808,10,0.95
0.00431815891191288,11,0.05
0.0131283535658426,11,0.25
0.0286006979312318,11,0.5
0.0654080499431152,11,0.75
0.171176430625539,11,0.95
0.0043272950254769,12,0.05
0.0125421705731051,12,0.25
0.0269197193471095,12,0.5
0.0628644729359227,12,0.75
0.16611101415942,12,0.95
