"outcome","input","quant"
0.128979955975345,1,0.05
0.243151890324855,1,0.25
0.365818026344722,1,0.5
0.511612377236489,1,0.75
0.726868503046709,1,0.95
0.152059504431017,2,0.05
0.26800293358429,2,0.25
0.382368109797694,2,0.5
0.515794494899139,2,0.75
0.716512962669141,2,0.95
0.172005545177496,3,0.05
0.295021563575226,3,0.25
0.409514473504868,3,0.5
0.538485174246564,3,0.75
0.724993352055709,3,0.95
0.131817633376609,4,0.05
0.244797705023694,4,0.25
0.362534802742278,4,0.5
0.498276709401964,4,0.75
0.696948875929459,4,0.95
0.165088529145824,5,0.05
0.287209443174792,5,0.25
0.404426758486288,5,0.5
0.535568177286541,5,0.75
0.721341104631004,5,0.95
0.177517204106381,6,0.05
0.305950907097502,6,0.25
0.426016005762486,6,0.5
0.558298359610592,6,0.75
0.740359595268526,6,0.95
0.135898414251419,7,0.05
0.252454208490032,7,0.25
0.375369925025004,7,0.5
0.515372488207265,7,0.75
0.715860567175865,7,0.95
0.157612849390746,8,0.05
0.278100013831349,8,0.25
0.396044962810962,8,0.5
0.527738339437136,8,0.75
0.714058460540127,8,0.95
0.188679115340629,9,0.05
0.318542862903159,9,0.25
0.43910619281825,9,0.5
0.572876093127105,9,0.75
0.756801314769315,9,0.95
0.151755314077325,10,0.05
0.272822124608528,10,0.25
0.394262529805928,10,0.5
0.53199089287005,10,0.75
0.726762957799533,10,0.95
0.175287825548,11,0.05
0.301936536805725,11,0.25
0.42075327969222,11,0.5
0.554026099476294,11,0.75
0.738126574883185,11,0.95
0.176777653494771,12,0.05
0.304324008768284,12,0.25
0.422361977499625,12,0.5
0.553256324606941,12,0.75
0.733794126052472,12,0.95
