"outcome","input","quant"
3.58639495045915e-10,1,0.05
8.97774438135975e-09,1,0.25
9.28563953620628e-08,1,0.5
9.78081853781986e-07,1,0.75
3.13118276672722e-05,1,0.95
2.33934941481588e-10,2,0.05
6.10673505131208e-09,2,0.25
6.67887853523629e-08,2,0.5
7.47341932563972e-07,2,0.75
2.49884596287913e-05,2,0.95
3.84345291082234e-11,3,0.05
9.41459433387478e-10,3,0.25
9.69572643196202e-09,3,0.5
9.96440261229797e-08,3,0.75
3.02817688417082e-06,3,0.95
1.25966612182538e-10,5,0.05
3.24619046738293e-09,5,0.25
3.52009875631762e-08,5,0.5
4.03792911525097e-07,5,0.75
1.48210680096015e-05,5,0.95
6.10041025692704e-12,6,0.05
1.67821549913313e-10,6,0.25
1.88886048982844e-09,6,0.5
2.15668502985175e-08,6,0.75
7.76606080029221e-07,6,0.95
5.12378199173736e-12,7,0.05
1.3164184880693e-10,7,0.25
1.44040150650074e-09,7,0.5
1.60814905692425e-08,7,0.75
5.76898399160786e-07,7,0.95
3.29997420192255e-11,8,0.05
8.17924296052737e-10,8,0.25
8.64520635717571e-09,8,0.5
9.325242421746e-08,8,0.75
3.24287493391567e-06,8,0.95
1.04040331140571e-10,9,0.05
3.81910944598106e-09,9,0.25
4.65441422033392e-08,9,0.5
5.44595441883317e-07,9,0.75
1.94141797285713e-05,9,0.95
3.15809983427164e-11,11,0.05
9.10281316413444e-10,11,0.25
1.03522035127071e-08,11,0.5
1.15738218178093e-07,11,0.75
3.55322389425772e-06,11,0.95
7.22684079307924e-11,12,0.05
2.62835788526444e-09,12,0.25
3.5339283177061e-08,12,0.5
4.74553318457629e-07,12,0.75
2.19914647596679e-05,12,0.95
1.00438931623028e-10,13,0.05
3.12400806777326e-09,13,0.25
3.58431709458006e-08,13,0.5
3.92617369431491e-07,13,0.75
1.24502137216962e-05,13,0.95
1.64454578334949e-10,14,0.05
4.71965640498638e-09,14,0.25
5.55541038814208e-08,14,0.5
6.82088558931878e-07,14,0.75
2.89805927244633e-05,14,0.95
2.22594596797917e-11,15,0.05
7.03955191640794e-10,15,0.25
8.61374219611995e-09,15,0.5
1.04152548365816e-07,15,0.75
3.99826245876739e-06,15,0.95
1.73503958065166e-10,16,0.05
4.72929883078788e-09,16,0.25
5.29958842090645e-08,16,0.5
6.09648184248301e-07,16,0.75
2.01187062882179e-05,16,0.95
3.9241861016662e-11,17,0.05
1.28133490966149e-09,17,0.25
1.5430489337205e-08,17,0.5
1.82865275572014e-07,17,0.75
7.07279196686839e-06,17,0.95
6.1374238388134e-12,18,0.05
1.56990904290085e-10,18,0.25
1.71610319698004e-09,18,0.5
1.91320681469483e-08,18,0.75
6.55516225176427e-07,18,0.95
1.04745905461298e-09,19,0.05
3.28287953211372e-08,19,0.25
3.43295475894633e-07,19,0.5
3.47969019336687e-06,19,0.75
0.000100903407148859,19,0.95
