"outcome","input","quant"
0.00541977748498062,1,0.05
0.010590706850659,1,0.25
0.0195438308370333,1,0.5
0.0433738128929377,1,0.75
0.113646324210627,1,0.95
0.00353701573252051,2,0.05
0.00738563050490075,2,0.25
0.0168802955831627,2,0.5
0.0398364470758586,2,0.75
0.10756805771883,2,0.95
0.00441944466584145,3,0.05
0.00884313258607008,3,0.25
0.0177101731021526,3,0.5
0.0402317110364705,3,0.75
0.108987477849815,3,0.95
0.00358328314065634,5,0.05
0.0070272154793363,5,0.25
0.015467086088374,5,0.5
0.0393924742270017,5,0.75
0.11631192519304,5,0.95
0.000992433272141973,6,0.05
0.00184943613367271,6,0.25
0.00366497714089606,6,0.5
0.00951045237278871,6,0.75
0.0327801701617763,6,0.95
0.00101129029370863,7,0.05
0.00198677937364498,7,0.25
0.00395169986056624,7,0.5
0.0105566176425956,7,0.75
0.0361257055943761,7,0.95
0.00243450573503858,8,0.05
0.0051839786183758,8,0.25
0.00987437831645703,8,0.5
0.0210592537764121,8,0.75
0.0641733819347848,8,0.95
0.00391994825809041,9,0.05
0.00789566610405816,9,0.25
0.0163267563187971,9,0.5
0.0366853891591892,9,0.75
0.104794881043612,9,0.95
0.00401726271231368,11,0.05
0.00813522376968409,11,0.25
0.01745499823508,11,0.5
0.0374082874861195,11,0.75
0.0973912791948933,11,0.95
0.00346511668364967,12,0.05
0.00657134416519967,12,0.25
0.0156948930947933,12,0.5
0.0427715102377898,12,0.75
0.115539704479605,12,0.95
0.00582871715632862,13,0.05
0.0109823361113505,13,0.25
0.02158585921151,13,0.5
0.0473831908374414,13,0.75
0.114279228552236,13,0.95
0.00622260710955576,14,0.05
0.0114428893003887,14,0.25
0.0211759538074252,14,0.5
0.0411881165228572,14,0.75
0.0981595690790079,14,0.95
0.00354506989240199,15,0.05
0.00656454146548373,15,0.25
0.0133994244133673,15,0.5
0.0380396307889225,15,0.75
0.108795845472334,15,0.95
0.00404210102158142,16,0.05
0.0073105318823548,16,0.25
0.0150088511123252,16,0.5
0.0403993227705493,16,0.75
0.10006102216983,16,0.95
0.00523304730133232,17,0.05
0.0103940843563194,17,0.25
0.0206429350809136,17,0.5
0.0440052906500516,17,0.75
0.11300240709888,17,0.95
0.00270540170491866,18,0.05
0.00509424938185692,18,0.25
0.0100223902111422,18,0.5
0.0258078614817461,18,0.75
0.0766143150894162,18,0.95
0.00628741735716329,19,0.05
0.0112477403241575,19,0.25
0.0205157621206331,19,0.5
0.0385981573667371,19,0.75
0.0911423904466269,19,0.95
