"outcome","input","quant"
2.48034419432987e-08,1,0.05
2.41921289907616e-07,1,0.25
1.32683205789792e-06,1,0.5
8.99342670877829e-06,1,0.75
0.000258391576172414,1,0.95
2.79807544961807e-08,2,0.05
2.19359312432769e-07,2,0.25
1.0477034945208e-06,2,0.5
6.01254256237071e-06,2,0.75
0.000124747026501894,2,0.95
2.72334515910683e-08,3,0.05
2.52921086507169e-07,3,0.25
1.37194652497264e-06,3,0.5
9.06624826844669e-06,3,0.75
0.000219304658575435,3,0.95
1.91818491333526e-08,5,0.05
1.67720038532161e-07,5,0.25
8.77605120775282e-07,5,0.5
5.73369566090648e-06,5,0.75
0.000165536412339869,5,0.95
1.02237933495871e-08,6,0.05
8.63052014722753e-08,6,0.25
4.28636209333663e-07,6,0.5
2.4964960566308e-06,6,0.75
4.85824255838248e-05,6,0.95
2.88675883479479e-09,7,0.05
2.43280666256707e-08,7,0.25
1.20559175625845e-07,7,0.5
7.22917551381246e-07,7,0.75
1.71809273453094e-05,7,0.95
9.59269524620781e-09,8,0.05
7.91907762938019e-08,8,0.25
3.90812073930388e-07,8,0.5
2.30726308846615e-06,8,0.75
4.83478108660888e-05,8,0.95
2.84136322626312e-08,9,0.05
2.80618685399036e-07,9,0.25
1.56300892492032e-06,9,0.5
1.05001768056633e-05,9,0.75
0.000265719263042552,9,0.95
1.9659613445056e-08,11,0.05
1.7006276318789e-07,11,0.25
8.6925835870254e-07,11,0.5
5.48708183658876e-06,11,0.75
0.000147238640306312,11,0.95
2.25346364773488e-08,12,0.05
1.99970644673809e-07,12,0.25
1.01009517139274e-06,12,0.5
6.11768135750104e-06,12,0.75
0.000146594446094696,12,0.95
3.69764123790817e-08,13,0.05
3.48057708913036e-07,13,0.25
1.8949938975958e-06,13,0.5
1.25666955241476e-05,13,0.75
0.000314424812781858,13,0.95
2.46431464669272e-08,14,0.05
2.12711964116418e-07,14,0.25
1.08343237396794e-06,14,0.5
6.76666975117812e-06,14,0.75
0.000184800631852064,14,0.95
1.19912537522286e-08,15,0.05
1.09077531323494e-07,15,0.25
5.62167261779366e-07,15,0.5
3.48465115922858e-06,15,0.75
8.54138079339502e-05,15,0.95
1.5324892860291e-07,16,0.05
1.2676355686945e-06,16,0.25
6.28154086353355e-06,16,0.5
3.7534417514931e-05,16,0.75
0.000766783382888872,16,0.95
1.99526459108163e-08,17,0.05
1.68566562786549e-07,17,0.25
8.4200603909859e-07,17,0.5
4.88479525501043e-06,17,0.75
0.000106129193215462,17,0.95
9.31382570317927e-09,18,0.05
7.41279468101437e-08,18,0.25
3.57133892428403e-07,18,0.5
2.0505658369266e-06,18,0.75
4.3756171787795e-05,18,0.95
7.05522049331794e-08,19,0.05
5.95416436899073e-07,19,0.25
2.94619119859531e-06,19,0.5
1.69261012956849e-05,19,0.75
0.000320488880560544,19,0.95
