"outcome","input","quant"
5.86546126088057e-10,2186953.93336378,0.05
1.56464581183334e-08,2186953.93336378,0.25
1.44769709332571e-07,2186953.93336378,0.5
1.34332566183454e-06,2186953.93336378,0.75
4.38579055891012e-05,2186953.93336378,0.95
3.3061951203595e-10,2252976.79610793,0.05
1.09649607716555e-08,2252976.79610793,0.25
1.06490951404356e-07,2252976.79610793,0.5
1.05085944940476e-06,2252976.79610793,0.75
3.70555535702202e-05,2252976.79610793,0.95
2.87170982647089e-11,2318999.65885209,0.05
1.09344123249021e-09,2318999.65885209,0.25
1.29971505636749e-08,2318999.65885209,0.5
1.58936520359701e-07,2318999.65885209,0.75
6.05186822506189e-06,2318999.65885209,0.95
1.91863807741354e-11,2385022.52159624,0.05
5.05262412558517e-10,2385022.52159624,0.25
5.68602670686796e-09,2385022.52159624,0.5
7.01810288684159e-08,2385022.52159624,0.75
2.64737863846287e-06,2385022.52159624,0.95
3.50046259522321e-11,2451045.3843404,0.05
8.11859806003812e-10,2451045.3843404,0.25
9.00583302098657e-09,2451045.3843404,0.5
1.14549659258462e-07,2451045.3843404,0.75
4.48883663099707e-06,2451045.3843404,0.95
1.35464708047917e-10,2517068.24708455,0.05
4.1163331921909e-09,2517068.24708455,0.25
5.00731301455514e-08,2517068.24708455,0.5
6.38812040357775e-07,2517068.24708455,0.75
2.33680411105707e-05,2517068.24708455,0.95
4.07635892721338e-11,2583091.10982871,0.05
1.48591478230889e-09,2583091.10982871,0.25
1.95566958843956e-08,2583091.10982871,0.5
2.62469799257737e-07,2583091.10982871,0.75
9.88252342415184e-06,2583091.10982871,0.95
4.75278411946982e-11,2649113.97257286,0.05
1.69592462075453e-09,2649113.97257286,0.25
2.02903155050509e-08,2649113.97257286,0.5
2.48943013109107e-07,2649113.97257286,0.75
8.4709148821782e-06,2649113.97257286,0.95
3.25354118719148e-11,2715136.83531702,0.05
1.26219272274798e-09,2715136.83531702,0.25
1.61027972440812e-08,2715136.83531702,0.5
2.10645916507477e-07,2715136.83531702,0.75
8.52195683852036e-06,2715136.83531702,0.95
3.2731032422545e-10,2781159.69806117,0.05
1.07684855239285e-08,2781159.69806117,0.25
1.19645155253513e-07,2781159.69806117,0.5
1.37398605076754e-06,2781159.69806117,0.75
4.59481090252829e-05,2781159.69806117,0.95
