"outcome","input","quant"
3.06065244173581e-08,2186953.93336378,0.05
2.6645600428934e-07,2186953.93336378,0.25
1.26620143316564e-06,2186953.93336378,0.5
6.68733852187251e-06,2186953.93336378,0.75
8.77651042769553e-05,2186953.93336378,0.95
1.36918896292726e-08,2252976.79610793,0.05
1.11815960679316e-07,2252976.79610793,0.25
5.1469726636574e-07,2252976.79610793,0.5
2.65821324165348e-06,2252976.79610793,0.75
3.44136040955332e-05,2252976.79610793,0.95
1.0097377020121e-08,2318999.65885209,0.05
8.52153629406717e-08,2318999.65885209,0.25
4.01690085920655e-07,2318999.65885209,0.5
2.1088505138296e-06,2318999.65885209,0.75
2.77583623566792e-05,2318999.65885209,0.95
9.31311094931789e-09,2385022.52159624,0.05
7.86412461528057e-08,2385022.52159624,0.25
3.71326598586997e-07,2385022.52159624,0.5
1.97016295794158e-06,2385022.52159624,0.75
2.6772744531215e-05,2385022.52159624,0.95
9.506665198948e-09,2451045.3843404,0.05
8.04719424740624e-08,2451045.3843404,0.25
3.80315993322903e-07,2451045.3843404,0.5
2.01919613147138e-06,2451045.3843404,0.75
2.7454020938112e-05,2451045.3843404,0.95
4.50121037669593e-08,2517068.24708455,0.05
4.08763558216781e-07,2517068.24708455,0.25
2.04010623415199e-06,2517068.24708455,0.5
1.08294626031254e-05,2517068.24708455,0.75
0.000134000128384149,2517068.24708455,0.95
3.28688452935698e-08,2583091.10982871,0.05
2.88027359879108e-07,2583091.10982871,0.25
1.4711314206193e-06,2583091.10982871,0.5
9.16946718936924e-06,2583091.10982871,0.75
0.000152266277610036,2583091.10982871,0.95
4.07655562455772e-08,2649113.97257286,0.05
3.55640242438571e-07,2649113.97257286,0.25
1.82516898693141e-06,2649113.97257286,0.5
1.14212924382114e-05,2649113.97257286,0.75
0.00019078013561696,2649113.97257286,0.95
7.85711419316955e-08,2715136.83531702,0.05
7.76734573009726e-07,2715136.83531702,0.25
4.67344655748792e-06,2715136.83531702,0.5
3.62240839076027e-05,2715136.83531702,0.75
0.000786143954083311,2715136.83531702,0.95
5.01147541485563e-08,2781159.69806117,0.05
5.29138669660539e-07,2781159.69806117,0.25
3.53868147326694e-06,2781159.69806117,0.5
4.16415913199105e-05,2781159.69806117,0.75
0.00131300500441722,2781159.69806117,0.95
