"outcome","input","quant"
1.421783344704e-07,2186953.93336378,0.05
8.38283712351642e-07,2186953.93336378,0.25
3.19026746501977e-06,2186953.93336378,0.5
1.51415613783664e-05,2186953.93336378,0.75
0.000311623601979446,2186953.93336378,0.95
1.40758583341325e-07,2252976.79610793,0.05
8.30104965598968e-07,2252976.79610793,0.25
3.1622049060673e-06,2252976.79610793,0.5
1.50173586457973e-05,2252976.79610793,0.75
0.000309853842037497,2252976.79610793,0.95
1.78663935696729e-07,2318999.65885209,0.05
1.04149965423698e-06,2318999.65885209,0.25
3.88647974624293e-06,2318999.65885209,0.5
1.79132749639187e-05,2318999.65885209,0.75
0.000345361633124668,2318999.65885209,0.95
1.9030629825454e-07,2385022.52159624,0.05
1.05089442918354e-06,2385022.52159624,0.25
3.75084712280544e-06,2385022.52159624,0.5
1.63205372117275e-05,2385022.52159624,0.75
0.000303467035124718,2385022.52159624,0.95
2.31771642973851e-07,2451045.3843404,0.05
1.4058656879697e-06,2451045.3843404,0.25
5.26324431172034e-06,2451045.3843404,0.5
2.31241018789871e-05,2451045.3843404,0.75
0.000363848212312495,2451045.3843404,0.95
1.89767859796336e-07,2517068.24708455,0.05
1.17064709866117e-06,2517068.24708455,0.25
4.48404596812648e-06,2517068.24708455,0.5
2.0341746572294e-05,2517068.24708455,0.75
0.000307269777847755,2517068.24708455,0.95
1.93247588188042e-07,2583091.10982871,0.05
1.08304443748426e-06,2583091.10982871,0.25
3.80018449831062e-06,2583091.10982871,0.5
1.53340993234141e-05,2583091.10982871,0.75
0.000214682428423466,2583091.10982871,0.95
1.52280546961456e-07,2649113.97257286,0.05
8.34280606417819e-07,2649113.97257286,0.25
2.91568583360111e-06,2649113.97257286,0.5
1.18172329004538e-05,2649113.97257286,0.75
0.000172554551320663,2649113.97257286,0.95
1.96415623989081e-07,2715136.83531702,0.05
1.1275981090228e-06,2715136.83531702,0.25
4.0918421967826e-06,2715136.83531702,0.5
1.76290475788612e-05,2715136.83531702,0.75
0.000327055822152844,2715136.83531702,0.95
1.71807773507827e-07,2781159.69806117,0.05
9.57964707919018e-07,2781159.69806117,0.25
3.39304383378788e-06,2781159.69806117,0.5
1.42519309906203e-05,2781159.69806117,0.75
0.000257730261424308,2781159.69806117,0.95
