"outcome","input","quant"
6.22467447630192e-11,1,0.05
2.19624577832694e-09,1,0.25
2.79793885302157e-08,1,0.5
3.54382710072507e-07,1,0.75
1.39682557048161e-05,1,0.95
6.21528356701341e-11,2,0.05
2.19517166886054e-09,2,0.25
2.79457677611243e-08,2,0.5
3.53073652870773e-07,2,0.75
1.38864190195985e-05,2,0.95
4.93574883477064e-11,3,0.05
1.63505912372455e-09,3,0.25
2.03241325930734e-08,3,0.5
2.56743518804966e-07,3,0.75
1.0035966654637e-05,3,0.95
4.93809066461871e-11,4,0.05
1.63955959485895e-09,4,0.25
2.04127538477717e-08,4,0.5
2.58450881118974e-07,4,0.75
1.01427500785393e-05,4,0.95
6.2992611814491e-11,5,0.05
2.22791044122836e-09,5,0.25
2.83964277028233e-08,5,0.5
3.59090295757727e-07,5,0.75
1.41642845848145e-05,5,0.95
