"outcome","input","quant"
0.00760527410491546,1,0.05
0.0301025935800747,1,0.25
0.0967364718701623,1,0.5
0.203636854056423,1,0.75
0.397636330974688,1,0.95
0.00834072269463739,2,0.05
0.0321823454556173,2,0.25
0.100311938270508,2,0.5
0.206582187898405,2,0.75
0.399176513148539,2,0.95
0.00872207445022621,3,0.05
0.0331837122189476,3,0.25
0.102419787149051,3,0.5
0.208675291090493,3,0.75
0.399399124560495,3,0.95
0.00886840387743631,4,0.05
0.0338824906884657,4,0.25
0.104090674362571,4,0.5
0.211521245719511,4,0.75
0.405591790974631,4,0.95
0.00895165399226419,5,0.05
0.0341776537644163,5,0.25
0.105070340468866,5,0.5
0.213529800355364,5,0.75
0.408585531125775,5,0.95
