"outcome","input","quant"
0.00181407600645055,1,0.05
0.00655677469947443,1,0.25
0.043723544182026,1,0.5
0.16675212352375,1,0.75
0.336997209175583,1,0.95
0.00170511407203482,2,0.05
0.00623167846202125,2,0.25
0.04168533038501,2,0.5
0.158892792929567,2,0.75
0.32032844361396,2,0.95
0.00166047834261555,3,0.05
0.00597679743764701,3,0.25
0.0401024480508841,3,0.5
0.152272175155405,3,0.75
0.30607906887194,3,0.95
0.00157567309116646,4,0.05
0.00574239143503983,4,0.25
0.0388738431243756,4,0.5
0.148954825231887,4,0.75
0.301727375876841,4,0.95
0.0015728439410589,5,0.05
0.00572577279462284,5,0.25
0.0388727412694443,5,0.5
0.148024836393483,5,0.75
0.299607065402011,5,0.95
