"outcome","input","quant"
1.79296829068153e-07,1,0.05
1.01999285356573e-06,1,0.25
3.69728089593019e-06,1,0.5
1.61315665385378e-05,1,0.75
0.000277678223629806,1,0.95
1.69692142844291e-07,2,0.05
9.88068043049225e-07,2,0.25
3.60241944654531e-06,2,0.5
1.54056167165408e-05,2,0.75
0.000272246875153931,2,0.95
1.6217281927734e-07,3,0.05
9.20459861515025e-07,3,0.25
3.31044313117571e-06,3,0.5
1.42382075849643e-05,3,0.75
0.000233432809364657,3,0.95
1.74783984573436e-07,4,0.05
1.02880052983312e-06,4,0.25
3.80625555979314e-06,4,0.5
1.70674710418388e-05,4,0.75
0.000293690464544547,4,0.95
1.83654546764721e-07,5,0.05
1.09168763202869e-06,5,0.25
4.09728581663645e-06,5,0.5
1.85425901090959e-05,5,0.75
0.000324846193779526,5,0.95
